"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY01304128" 1987 NA "Eugenia macrocalyx" "M. L. Kawasaki" -63.5 -0.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001019101" 1963 NA "Eugenia macrocalyx" "R. McVaugh" -56.8166666666667 3.33333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001019098" 1997 NA "Eugenia macrocalyx" "B. Holst" -56.8777777777778 4.75833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01304127" 1982 NA "Eugenia macrocalyx" "B. K. Holst" -63.58 -10.5833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001019099" 1997 NA "Eugenia macrocalyx" "B.K. Holst" -56.8805555555556 4.75833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01898220" 1982 NA "Eugenia macrocalyx" "Sem determinador" -63.5833333333333 -10.5833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00981391" 1983 NA "Eugenia macrocalyx" "B. K. Holst" -46.4 -4.05 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001019102" 1987 NA "Eugenia macrocalyx" "M. Kawasaki" -63.6166666666667 -10.6333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01304129" 1987 NA "Eugenia macrocalyx" "M. L. Kawasaki" -63.62 -10.63 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451207" NA NA "Eugenia macrocalyx" "B. K. Holst" -59.6855555555556 -2.31527777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01304126" 1943 NA "Eugenia macrocalyx" "R. McVaugh" -60.025 -3.10194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "3191570" 1987 NA "Eugenia macrocalyx" "M.L. Kawasaki" -63.5 0.5 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01304126" 1943 NA "Eugenia macrocalyx" "R. McVaugh" -60.025 -3.10194 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01451207" 1991 NA "Eugenia macrocalyx" "B. K. Holst" -59.6854736 -2.3153702 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "34455" NA NA "Eugenia macrocalyx" "Bruce Holst, 2000" -61.25 -1.75 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "334405" 1995 NA "Eugenia macrocalyx" "Holst, BK" -56.880556 4.758333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
