"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "HUENF" "HUENF00001679" 1998 NA "Eugenia magnifica" "Sem determinador" -41.7969444444444 -21.8469444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32278" 2009 "2010-01-25" "Eugenia magnifica" "Sobral, M" -49.0477777777778 -26.1925 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32273" 2010 "2010-05-15" "Eugenia magnifica" "Sobral, M" -48.8580555555556 -26.0347222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32272" 2010 "2010-09-30" "Eugenia magnifica" "Oliveira, AA de" -49.1505555555556 -26.2836111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01921346" 1965 NA "Eugenia magnifica" "M. Sobral" -49.0552777777778 -25.3058333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000812413" 2012 NA "Eugenia magnifica" "Mazine, F.F." -42.03 -22.44 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01281810" 2001 NA "Eugenia magnifica" "Sem determinador" -43.4683333333333 -22.5694444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0015718" 1971 "1986-07-11" "Eugenia magnifica" "Sobral, M" -39.0258333333333 -14.4722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001019173" 1996 NA "Eugenia magnifica" "N.M. Ivanauskas" -47.8769444444444 -24.6083333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00580057" 1990 NA "Eugenia magnifica" "M. Sobral" -49.07 -25.35 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001019172" 1999 NA "Eugenia magnifica" "Sem determinador" -48.2141666666667 -24.2252777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01551121" 1994 NA "Eugenia magnifica" "M. Sobral" -44.6583333333333 -22.3583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ESA" "ESA080715" NA NA "Eugenia magnifica" "Mazine, F.F. & Duarte, A.R." -47.5922222222222 -24.0330555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "MACK" "1338" 2009 "2010-01-25" "Eugenia magnifica" "Sobral, M" -49.047778 -26.1925 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEPEC" "122570" NA NA "Eugenia magnifica" "" -39.115 -14.499722 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "CEPEC" "61495" NA NA "Eugenia magnifica" "M. Sobral" -39.113333 -14.964167 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "739394" 1987 NA "Eugenia magnifica" "F. F. Mazine, May/" -46.93333 -24.25 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "1921346" 1965 NA "Eugenia magnifica" "M. Sobral" -49.0553 -25.3058 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "557852" 1966 NA "Eugenia magnifica" "M. Sobral" -48.8342 -25.4769 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
