"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "MAC" "MAC0055842" 2009 NA "Eugenia megaflora" "Sem determinador" -43.3663888888889 -10.6802777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0024657" 2009 NA "Eugenia megaflora" "Sem determinador" -43.2158333333333 -10.4047222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K001019117" 2000 NA "Eugenia megaflora" "J.E.Q. Faria" -46.7536111111111 -13.6533333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0024828" NA NA "Eugenia megaflora" "Proença, C" -43.0827777777778 -11.0522222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "CEN" "31655" NA NA "Eugenia megaflora" "J. E. Q. Faria Júnior" -48.32 -13.912777 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEN" "31751" NA NA "Eugenia megaflora" "J. E. Q. Faria Júnior" -48.333333 -13.833333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEN" "41175" NA NA "Eugenia megaflora" "J. E. Q. Faria Júnior" -46.75361 -13.65333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEN" "43946" NA NA "Eugenia megaflora" "J. E. Q. Faria Júnior" -48.105555 -13.578333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEN" "49797" NA NA "Eugenia megaflora" "J. E. Q. Faria Júnior" -48.065555 -13.693055 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEN" "59703" NA NA "Eugenia megaflora" "J. E. Q. Faria Júnior" -46.767222 -13.589444 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEN" "59720" NA NA "Eugenia megaflora" "J. E. Q. Faria Júnior" -46.73667 -13.6275 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEN" "67943" NA NA "Eugenia megaflora" "J. E. Q. Faria Júnior" -48.158055 -12.859722 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "117608" 1996 NA "Eugenia megaflora" "Faria, JEQ" -48.32 -13.912778 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "117652" 1997 NA "Eugenia megaflora" "Faria, JEQ" -48.616667 -11.966667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "139493" 2000 NA "Eugenia megaflora" "Faria, JEQ" -46.753611 -13.653333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "165912" 2010 NA "Eugenia megaflora" "Faria, JEQ" -48.28 -9.851389 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "165913" 2010 NA "Eugenia megaflora" "Faria, JEQ" -48.300833 -9.795 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "165970" 2010 NA "Eugenia megaflora" "Faria, JEQ" -48.721111 -7.689444 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "208575" 2001 NA "Eugenia megaflora" "Faria, JEQ" -41.475 -6.864444 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUTO" "2310" 2009 NA "Eugenia megaflora" "Faria-Junior, J." -48.263028 -10.356 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MAC" "55842" 2009 NA "Eugenia megaflora" "" -43.366389 -10.680278 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "ASE" "18091" 2009 NA "Eugenia megaflora" "" -43.366417 -10.680167 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "ASE" "18322" NA NA "Eugenia megaflora" "Proença, C" -43.141389 -11.089444 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ICN" "124742" 2001 NA "Eugenia megaflora" "Faria, JEQ" -41.471667 -6.8525 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUEFS" "82586" 2001 NA "Eugenia megaflora" "J.E.Q.Faria Júnior & M.Ibrahim" -48.105556 -13.580278 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
