"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FLOR" "FLOR0062170" 2006 NA "Eugenia melanogyna" "Daltrini, C." -46.0294444444444 -23.7483333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32270" 2009 "2010-01-25" "Eugenia melanogyna" "Sobral, M" -49.0477777777778 -26.1925 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32265" 2015 "2015-03-27" "Eugenia melanogyna" "Oliveira, AA de" -49.41 -26.3697222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32271" 2009 "2010-01-25" "Eugenia melanogyna" "Sobral, M" -49.0494444444444 -26.8197222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB48674" 2015 "2015-10-30" "Eugenia melanogyna" "Oliveira, AA de" -48.78 -26.0086111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32269" 2009 "2010-01-25" "Eugenia melanogyna" "Sobral, M" -48.7802777777778 -26.9997222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32267" 2010 "2010-08-15" "Eugenia melanogyna" "Sobral, M" -49.14 -26.28 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01387857" 2015 NA "Eugenia melanogyna" "L. F. Gonçalves" -43.0025 -22.4588888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01362876" 2009 NA "Eugenia melanogyna" "A. Giaretta" -39.7391666666667 -18.4238888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000016791" 2014 "2014-08-04" "Eugenia melanogyna" "M.L. Brotto" -48.8580555555556 -25.17 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00579951" 1996 NA "Eugenia melanogyna" "M. Sobral" -49.2063888888889 -25.5347222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES014265" NA NA "Eugenia melanogyna" "Sobral, M." -40.1625 -19.4913888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "MACK" "1290" 2009 "2010-01-25" "Eugenia melanogyna" "Sobral, M." -49.047778 -26.1925 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "G" "G00223967" 1957 NA "Eugenia melanogyna" "?" -51.16277778 -27.02861111 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "NYBG_BR" "579951" 1996 NA "Eugenia melanogyna" "M. Sobral" -49.2064 -25.5347 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "594918" 1966 NA "Eugenia melanogyna" "M. Sobral" -48.8342 -25.4769 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
