"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "K" "K001019145" 1994 NA "Eugenia monticola" "B.K. Holst" -59.1 3.11666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-108983" 2015 NA "Eugenia monticola" "Vargas-F.J.A | Londoño-L. V" -76.294913 3.835328 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-110187" 2014 NA "Eugenia monticola" "" -77.080556 2.085278 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-111781" 2010 NA "Eugenia monticola" "Reina-Rodríguez, G." -76.167917 4.022556 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-42962" 1990 NA "Eugenia monticola" "Lucas, Eve" -74.833333 4.916667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3190800" 1989 NA "Eugenia monticola" "M.L. Kawasaki" -76.66666 4.36666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1402096" 1995 NA "Eugenia monticola" "F.R. Barrie" -82.81 8.91 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1402155" 1994 NA "Eugenia monticola" "P. Sánchez" -85.61 10.83 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1403800" 1993 NA "Eugenia monticola" "F.R. Barrie" -85.4 10.88 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"CAS" "BOT-BC" "924" 2005 NA "Eugenia monticola" "" -93.063889 15.799444 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "308639" 1985 NA "Eugenia monticola" "F.R. Barrie" -84.815278 10.308333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308707" 1985 NA "Eugenia monticola" "F.R. Barrie" -84.8075 10.308611 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308833" 1990 NA "Eugenia monticola" "F.R. Barrie" -85.427778 10.990556 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308950" 1989 NA "Eugenia monticola" "F.R. Barrie" -84.78 10.28 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "310829" 1989 NA "Eugenia monticola" "F.R. Barrie" -84.8 10.3 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311568" 1991 NA "Eugenia monticola" "F.R. Barrie" -85.26 10.77 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864227" 1972 NA "Eugenia monticola" "F.R. Barrie" -84.81222 10.30305 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
