"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB02457" 2010 NA "Eugenia neoglomerata" "Oliveira, AA de" -48.9605555555556 -26.1002777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01551136" 1995 NA "Eugenia neoglomerata" "M. Sobral" -44.6583333333333 -22.3583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00981876" 2012 NA "Eugenia neoglomerata" "V.C. Souza" -47 -24 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01119236" 1996 NA "Eugenia neoglomerata" "N.M. Ivanauskas" -47.8769444444444 -24.6083333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS174946" NA NA "Eugenia neoglomerata" "M.Sobral" -44.75 -22.4666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01119269" 2016 "2017-04-12" "Eugenia neoglomerata" "Marcelo da Costa Souza" -43.2852777777778 -22.9563888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00580042" 1933 NA "Eugenia neoglomerata" "M. L. Kawasaki" -46.6183333333333 -23.6461111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY02499286" 1999 NA "Eugenia neoglomerata" "M. Sobral" -39.415 -16.8672222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00594931" 1982 "2017-06-07" "Eugenia neoglomerata" "Souza, M.C." -43.2780555555556 -22.9569444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01315246" NA NA "Eugenia neoglomerata" "Sem determinador" -47.9247222222222 -24.1913888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "CEPEC" "69889" NA NA "Eugenia neoglomerata" "M. Sobral" -43.033333 -22.583333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "307932" 1987 NA "Eugenia neoglomerata" "F. F. Mazine, May/" -46.93333 -24.25 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "02499286" 1999 NA "Eugenia neoglomerata" "M. Sobral" -39.415 -16.86722222 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "580042" 1933 NA "Eugenia neoglomerata" "M. L. Kawasaki" -46.618358 -23.646109 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "594931" 1982 NA "Eugenia neoglomerata" "M. Sobral" -43.278116 -22.956929 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SINBIOTA" "27170040" NA NA "Eugenia neoglomerata" "" -46.6787 -23.729299 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "49010068" NA NA "Eugenia neoglomerata" "" -47.9249 -24.181 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "60020145" NA NA "Eugenia neoglomerata" "" -47.965302 -24.068001 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "78430038" NA NA "Eugenia neoglomerata" "" -47.9315 -25.0749 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SORO" "1209" 1995 NA "Eugenia neoglomerata" "" -47.876944 -24.675833 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SORO" "2511" 1996 NA "Eugenia neoglomerata" "" -47.876944 -24.608333 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
