"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"MO" "MO" "308371" 1989 NA "Eugenia octopleura" "P. Sánchez, I/" -84.1 10.03 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "310564" 1989 NA "Eugenia octopleura" "J. Gómez-Laurito, XII/" -84.59 10.28 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"K" "Herbarium" "K001001952" 1989 NA "Eugenia octopleura" "" -84.16 9.85 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"LAGU" "Herbarium LAGU" "JBL07285" 2007 NA "Eugenia octopleura" "J.Linares 2007-05-20" -89.33917 14.3175 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"K" "Herbarium" "K001001951" 1981 NA "Eugenia octopleura" "" -85.67 13.57 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "2866174" 1974 NA "Eugenia octopleura" "F.R. Barrie" -90.21777 15.21972 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2866176" 1968 NA "Eugenia octopleura" "F.R. Barrie" -79.375 9.233889 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2866175" 1987 NA "Eugenia octopleura" "F.R. Barrie" -79.375 9.23388 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2865640" 1980 NA "Eugenia octopleura" "F.R. Barrie" -79.38472 9.21388 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2865387" 1861 NA "Eugenia octopleura" "F.R. Barrie" -79.75361 9.12166 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2865388" 1967 NA "Eugenia octopleura" "F.R. Barrie" -77.8 7.516667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864236" 1962 NA "Eugenia octopleura" "F.R. Barrie" -77.63333 8.18333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864238" 1962 NA "Eugenia octopleura" "F.R. Barrie" -77.666667 8.116667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100889353" 2016 NA "Eugenia octopleura" "Flores Jiménez, Rodolfo Ramiro" -80.600556 8.68 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Museo Nacional de Costa Rica (MNCR)" "Herbario Nacional de Costa Rica (CR)" "233338" 1983 NA "Eugenia octopleura" "Sánchez, Pablo E." -85.9 12.9 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
