"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY01451252" 1967 NA "Eugenia omissa" "R. McVaugh" -61.6947222222222 3.73333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451249" 1969 NA "Eugenia omissa" "R. McVaugh" -60.2333333333333 -2.48333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451259" 1967 NA "Eugenia omissa" "R. McVaugh" -60.2813888888889 -3.16944444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451255" 1969 NA "Eugenia omissa" "M. L. Kawasaki" -52.5397222222222 -0.867777777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "SPF" "SPF00217331" 2011 NA "Eugenia omissa" "Giaretta, A" -72.3447222222222 -7.47027777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001019240" 1986 NA "Eugenia omissa" "Kawasaki, M.L." -61.3333333333333 3.36666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451262" 1969 NA "Eugenia omissa" "B. K. Holst" -52.4927777777778 -0.892222222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001019234" 1992 NA "Eugenia omissa" "B.K. Holst" -59.25 2.08333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01488161" 2009 NA "Eugenia omissa" "M. L. Kawasaki" -71.6008333333333 -8.68055555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01898331" 1986 NA "Eugenia omissa" "Sem determinador" -61.3333333333333 -3.36666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01451258" 1967 NA "Eugenia omissa" "R. McVaugh" -61.4858333333333 2.69111111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00866699" 1980 NA "Eugenia omissa" "B. K. Holst" -67.7358333333333 -10.1511111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451245" 1985 NA "Eugenia omissa" "B. K. Holst" -59 -6.83333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451256" 1980 NA "Eugenia omissa" "B. K. Holst" -49.6725 -3.76611111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451250" NA NA "Eugenia omissa" "Sem determinador" -60.1022222222222 -2.9975 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01451251" 1969 NA "Eugenia omissa" "R. McVaugh" -60.1833333333333 -2.41666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451253" 1966 NA "Eugenia omissa" "R. McVaugh" -63.4786111111111 -7.49722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451265" 1987 NA "Eugenia omissa" "Sem determinador" -60.6733333333333 2.81972222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
