"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB01397401" 2014 "2018-04-02" "Eugenia patens" "Equipe IFN-PA" -49.5333333333333 -5.43333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00476496" 1996 NA "Eugenia patens" "B. K. Holst" -69.6858333333333 -9.04277777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451215" 1934 NA "Eugenia patens" "R. McVaugh" -59.5938888888889 -4.38805555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907766" 1986 NA "Eugenia patens" "M. Sobral" -45.25 -3.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451243" 1976 NA "Eugenia patens" "B. K. Holst" -49.3266666666667 -5.13472222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451229" 1976 NA "Eugenia patens" "R. McVaugh" -71.5508333333333 -4.52583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00868340" 1984 NA "Eugenia patens" "B. K. Holst" -72 -7 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451242" 1982 NA "Eugenia patens" "M. Sobral" -66.8766666666667 -1.83611111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00868341" 1966 NA "Eugenia patens" "R. McVaugh" -72.8955555555556 -7.61444444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451236" 1965 NA "Eugenia patens" "B. K. Holst" -46.4694444444444 -1.43444444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01488157" 2009 NA "Eugenia patens" "M. Sobral" -71.9211111111111 -9.23666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451275" NA NA "Eugenia patens" "M. Sobral" -69.4294444444444 -1.39805555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451235" 1977 NA "Eugenia patens" "B. K. Holst" -52.3977777777778 -3.27194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01538844" 1983 NA "Eugenia patens" "Sem determinador" -49.6933333333333 -3.94138888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01898415" 1933 NA "Eugenia patens" "Sem determinador" -70.25 -7.5 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01451225" 1934 NA "Eugenia patens" "R. McVaugh" -61.3002777777778 -5.80916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RON" "RON00001777" 2008 NA "Eugenia patens" "Sobral, M" -63.5705555555556 -8.485 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00866691" 1992 NA "Eugenia patens" "B. K. Holst" -72.52 -8.92 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00866696" NA NA "Eugenia patens" "Sem determinador" -69 -9.33 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01451271" 1965 NA "Eugenia patens" "B. K. Holst" -46.4694444444444 -1.43444444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01898414" 1933 NA "Eugenia patens" "Sem determinador" -69 -9.33333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01451224" 1961 NA "Eugenia patens" "R. McVaugh" -51.6169444444444 -0.991944444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01552480" 1979 NA "Eugenia patens" "I. Bemerguy" -45.8333333333333 -3.66666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01451218" 1953 NA "Eugenia patens" "R. McVaugh" -54.0691666666667 -2.00777777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451217" 1983 NA "Eugenia patens" "Sem determinador" -51.75 -0.83 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RON" "RON00006359" 2011 NA "Eugenia patens" "Sobral, M" -64.5236111111111 -9.32305555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00918010" 2014 NA "Eugenia patens" "M.SOBRAL" -51.7797222222222 -3.205 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01898403" 1985 NA "Eugenia patens" "Sem determinador" -55.75 -15.5 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
