"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY00557898" NA NA "Eugenia plicatocostata" "M. Sobral" -39.4255555555556 -14.8641666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00906685" 2006 NA "Eugenia plicatocostata" "O. K. Berg" -39.5652777777778 -15.3916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01095582" 2000 NA "Eugenia plicatocostata" "M. Sobral" -39.2741666666667 -14.6022222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "CEPEC" "86876" NA NA "Eugenia plicatocostata" "M. Sobral" -39.274167 -14.602222 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00906685" 2006 NA "Eugenia plicatocostata" "O. K. Berg" -39.5653 -15.3917 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "NYBG_BR" "01095582" 2000 NA "Eugenia plicatocostata" "M. Sobral" -39.2742 -14.6022 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "557898" 1978 NA "Eugenia plicatocostata" "M. Sobral" -39.4255221 -14.8640373 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "557899" 1978 NA "Eugenia plicatocostata" "M. Sobral" -39.63 -14.7 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CVRD" "14315" 2012 "2012-12-13" "Eugenia plicatocostata" "Geovane S. Siqueira" -39.963694 -19.192917 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "CVRD" "8066" 2001 "2007-02-10" "Eugenia plicatocostata" "Marcos Sobral" -39.917014 -19.117315 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ALCB" "106411" 2011 NA "Eugenia plicatocostata" "Sobral, M" -39.183333 -13.316667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
