"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY01451347" 1961 NA "Eugenia polystachya" "R. McVaugh" -50.7930555555556 2.05333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451348" 1969 NA "Eugenia polystachya" "R. McVaugh" -54.7080555555556 -2.44333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01898444" 1980 NA "Eugenia polystachya" "Sem determinador" -46.9833333333333 -1.06666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K001019368" 1961 NA "Eugenia polystachya" "R. McVaugh" -51.75 -0.7 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451350" NA NA "Eugenia polystachya" "R. McVaugh" -53.9866666666667 -3.72722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01299096" 2015 NA "Eugenia polystachya" "A. Giaretta" -54.8866666666667 -2.44444444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451506" 1986 NA "Eugenia polystachya" "M. L. Kawasaki" -61.43 3.4 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01898443" 1980 NA "Eugenia polystachya" "Sem determinador" -45.1666666666667 -3 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00907467" 1978 NA "Eugenia polystachya" "F. F. Mazine" -45.38 -3.66694444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451512" 1981 NA "Eugenia polystachya" "F. F. Mazine" -49.9008333333333 -4.19111111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451508" 1973 NA "Eugenia polystachya" "F. F. Mazine" -69.9163888888889 -4.33305555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907272" 1980 NA "Eugenia polystachya" "F. F. Mazine" -45.17 -3 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01898448" 1961 NA "Eugenia polystachya" "R. McVaugh" -51.9333333333333 1.66666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451509" 1969 NA "Eugenia polystachya" "F. F. Mazine" -63.5472222222222 1.57666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01898441" 1986 NA "Eugenia polystachya" "M.L. Kawasaki" -61.4333333333333 3.4 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451503" 1983 NA "Eugenia polystachya" "Sem determinador" -51.2894444444444 -0.115 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00907605" 1978 NA "Eugenia polystachya" "I. Bemerguy" -46.08 -3.75 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K001019360" 1981 NA "Eugenia polystachya" "Mazine, F.F." -49.9166666666667 -4.06666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907629" 1978 NA "Eugenia polystachya" "N. A. Rosa" -45.3716666666667 -1.66333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01451510" 1977 NA "Eugenia polystachya" "F. F. Mazine" -55.6891666666667 -6.00111111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01451502" 1961 NA "Eugenia polystachya" "R. McVaugh" -51.93 1.67 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
