"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-106099" 2013 NA "Eugenia procera" "González, Roy" -74.781306 5.085444 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-108705" 2014 NA "Eugenia procera" "Idárraga, Álvaro" -75.107222 9.936667 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-108985" 2015 NA "Eugenia procera" "Vargas-F.J.A | Londoño-L. V" -76.294913 3.835328 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-109637" 2014 NA "Eugenia procera" "Idárraga A | Molina D" -75.824083 6.598361 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-109657" 2014 NA "Eugenia procera" "Idárraga A | Molina D" -75.829556 6.609528 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-110357" 2014 NA "Eugenia procera" "Lucas, Eve" -76.2902 3.848031 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-110408" 2013 NA "Eugenia procera" "Lucas, Eve" -76.689833 3.644167 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-110764" 2013 NA "Eugenia procera" "Lucas, Eve" -76.295194 3.836194 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-110787" 2013 NA "Eugenia procera" "" -76.539 3.59525 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-110913" 2013 NA "Eugenia procera" "Lucas, Eve" -76.168456 4.028914 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-110996" 2013 NA "Eugenia procera" "" -75.962583 4.567278 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-111876" 2014 NA "Eugenia procera" "Parra, Carlos" -74.909083 4.277861 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "IAvH-CT" "IAvH-CT-16798" 2014 NA "Eugenia procera" "" -76.697161 3.735183 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"IAvH" "FMB" "Temp-AAE989" NA NA "Eugenia procera" "" -75.883914 4.855008 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"K" "Herbarium" "K001003005" 1963 NA "Eugenia procera" "" -76.69 3.66 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"Universidad de Antioquia" "HUA" "121979" 1998 NA "Eugenia procera" "" -76.66214 3.76282 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"Universidad de Antioquia" "HUA" "136679" 1999 NA "Eugenia procera" "" -76.11571 4.87802 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
