"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "CRI" "CRI005000" 1993 NA "Eugenia pruinosa" "Marcos Sobral" -49.2916666666667 -28.3594444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB02469" 2010 NA "Eugenia pruinosa" "Sobral, M" -48.6908333333333 -27.0002777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01208823" 2013 "2013-05-18" "Eugenia pruinosa" "M.G. Santos" -41.5927777777778 -22.2438888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES014949" 1997 NA "Eugenia pruinosa" "A. Giaretta" -41.0247222222222 -21.0555555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00580112" 1968 NA "Eugenia pruinosa" "M. Sobral" -48.8341666666667 -25.4769444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "NYBG_BR" "580112" 1968 NA "Eugenia pruinosa" "M. Sobral" -48.8342 -25.4769 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SINBIOTA" "123860069" NA NA "Eugenia pruinosa" "" -47.866699 -24.200001 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "49010063" NA NA "Eugenia pruinosa" "" -47.9249 -24.181 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "60020143" NA NA "Eugenia pruinosa" "" -47.965302 -24.068001 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "CVRD" "11276" 2008 "2008-06-04" "Eugenia pruinosa" "Domingos A. Folli" -39.928967 -19.234957 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "CVRD" "13177" 2010 "2011-05-16" "Eugenia pruinosa" "Geovane S. Siqueira" -40.496598 -19.964271 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "FURB" "2469" 2010 NA "Eugenia pruinosa" "Sobral, M" -48.6908333 -27.0002778 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "40885" 1987 NA "Eugenia pruinosa" "A. Giaretta/20-09-2017" -42.484722 -22.931944 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "262439" 1993 NA "Eugenia pruinosa" "Kawasaki, ML" -47.25 -24.55 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "454687" 2013 NA "Eugenia pruinosa" "Kondrat, H" -46.614444 -23.641944 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "CRI" "4995" 1993 NA "Eugenia pruinosa" "Marcos Sobral" -49.2916666 -28.3594444 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "IAC" "37912" 1999 "2002-10-17" "Eugenia pruinosa" "M.E.G. Sobral" -47.8825 -24.608333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "IAC" "42830" NA NA "Eugenia pruinosa" "E.L.M. Catharino" -47.004408 -23.755951 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "SPF" "189717" 2008 NA "Eugenia pruinosa" "Siqueira, GS" -39.928611 -19.234444 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"S" "VascularPlants" "S13-15342" 1993 NA "Eugenia pruinosa" "" -44.66 -23.33 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"UFSCar" "SORO" "1235" 1995 NA "Eugenia pruinosa" "" -47.866667 -24.6 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
