"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "HUENF" "HUENF00010922" 2012 NA "Eugenia pruniformis" "Sem determinador" -41.4480555555556 -21.7972222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUENF" "HUENF00008107" 2001 NA "Eugenia pruniformis" "Sem determinador" -42.0355555555556 -22.4283333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "VIES" "VIES032669" 2006 NA "Eugenia pruniformis" "A. Giaretta" -40.56 -18.5361111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES019556" 2009 NA "Eugenia pruniformis" "Giaretta, A.O." -40.0711111111111 -19.3213888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES026783" 2012 NA "Eugenia pruniformis" "Giaretta, A.O." -39.7683333333333 -18.7961111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00528934" 2005 NA "Eugenia pruniformis" "M.Souza" -42.2125 -22.9338888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01018179" 1994 NA "Eugenia pruniformis" "Sem determinador" -42.3916666666667 -22.6508333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00588875" 2003 NA "Eugenia pruniformis" "M.SOBRAL" -41.0333333333333 -21.7333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY02714793" 2000 NA "Eugenia pruniformis" "J. E. Q. de Faria" -39.1511111111111 -15.1794444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES005155" 1990 NA "Eugenia pruniformis" "Sobral, M." -40.23 -19.4955555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01181087" 2001 NA "Eugenia pruniformis" "F.F. Mazine" -42.5775 -22.5866666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01181956" 2016 "2016-06-03" "Eugenia pruniformis" "M.C. Souza" -43.2705555555556 -22.9630555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES033548" 2013 NA "Eugenia pruniformis" "A. Giaretta" -41.3277777777778 -20.5641666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES011798" 2012 NA "Eugenia pruniformis" "Sem determinador" -39.7591666666667 -18.8402777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K001021481" 2010 NA "Eugenia pruniformis" "Faria, J.E.Q." -40.9930555555556 -18.5736111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES014229" 2000 "2016-12-09" "Eugenia pruniformis" "Valdemarin, K." -40.3702777777778 -20.2205555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01033198" NA NA "Eugenia pruniformis" "F. F. Mazine" -43.07 -22.55 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001021479" 2005 NA "Eugenia pruniformis" "J.E.Q. Faria" -41.8036111111111 -20.9047222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01181943" 2016 "2016-06-03" "Eugenia pruniformis" "M.C. Souza" -43.2583333333333 -22.97 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01174108" 2016 "2016-07-26" "Eugenia pruniformis" "M.C.Souza" -43.2566666666667 -22.9661111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES022454" 2009 NA "Eugenia pruniformis" "A. Giaretta" -40.0722222222222 -19.3911111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "CEPEC" "122557" NA NA "Eugenia pruniformis" "" -39.115 -14.499722 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "CEPEC" "123607" 2007 NA "Eugenia pruniformis" "" -39.083333 -14.416667 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "CEPEC" "90614" NA NA "Eugenia pruniformis" "P. Fiaschi" -39.531111 -15.154444 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "NYBG_BR" "1018179" 1994 NA "Eugenia pruniformis" "" -42.3917 -22.6508 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "NYBG_BR" "02714793" 2000 NA "Eugenia pruniformis" "J. E. Q. de Faria" -39.15111111 -15.1794444 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SINBIOTA" "199130058" NA NA "Eugenia pruniformis" "" -45.080799 -23.3739 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
