"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FLOR" "FLOR0030263" 1986 "2017-02-24" "Eugenia ramboi" "Sobral, M." -52.1833333333333 -22.6166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33204" 2010 NA "Eugenia ramboi" "Sobral, M" -50.0380555555556 -27.0922222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33205" 2009 "2009-07-17" "Eugenia ramboi" "Sobral, M" -52.1088888888889 -26.5502777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB31704" 2015 "2015-03-24" "Eugenia ramboi" "Oliveira, AA de" -49.6813888888889 -26.2794444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB51624" 2016 NA "Eugenia ramboi" "Farias, D.M." -49.14 -27.9 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB31705" 2015 "2015-03-20" "Eugenia ramboi" "Oliveira, AA de" -50.04 -26.73 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33203" 2008 NA "Eugenia ramboi" "Sobral, M" -51.4808333333333 -27.1347222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33202" 2009 "2010-09-14" "Eugenia ramboi" "Oliveira, AA de" -49.6919444444444 -27.2477777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01898691" 1964 NA "Eugenia ramboi" "Sem determinador" -52.6166666666667 -27.1 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UPCB" "UPCB0028696" 2010 "2010-12-08" "Eugenia ramboi" "Brotto, M.L." -52.5086111111111 -26.1688888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
