"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "MAC" "MAC0015686" 1996 NA "Eugenia rosea" "P.P. de Oliveira" -39.7666666666667 -12.7 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0015687" 1996 NA "Eugenia rosea" "P.P. de Oliveira" -39.7 -12.7166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K001051709" 2012 NA "Eugenia rosea" "J.E.Q. Faria" -39.6333333333333 -12.7166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "SPF" "SPF00175519" 2004 NA "Eugenia rosea" "Sobral, M" -41.2486111111111 -13.0897222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00594873" 1981 NA "Eugenia rosea" "M. Sobral" -39.8588888888889 -12.87 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS187320" NA NA "Eugenia rosea" "M.Sobral" -40.0777777777778 -12.7216666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "CEPEC" "36990" NA NA "Eugenia rosea" "M. Sobral" -40.116667 -12.716667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEPEC" "80094" NA NA "Eugenia rosea" "F. França" -39.683333 -12.716667 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "NYBG_BR" "594873" 1981 NA "Eugenia rosea" "M. Sobral" -39.8589 -12.87 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEN" "42371" NA NA "Eugenia rosea" "" -39.766666 -12.7 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "CEN" "42374" NA NA "Eugenia rosea" "" -39.7 -12.716666 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "JPB" "29875" 1996 "1999-08-01" "Eugenia rosea" "Oliveira, PP de" -39.766667 -12.733333 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "IPA" "63714" 1996 NA "Eugenia rosea" "" -39.766667 -12.7 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "IPA" "63730" 1996 NA "Eugenia rosea" "" -39.7 -12.716667 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "UB" "130853" 2000 NA "Eugenia rosea" "Proença, CEB" -38.083333 -11.95 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "170993" 2011 NA "Eugenia rosea" "Faria, JEQ" -39.768889 -12.712778 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "170996" 2011 NA "Eugenia rosea" "Faria, JEQ" -39.634444 -12.721389 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "191158" 2012 NA "Eugenia rosea" "Faria, JEQ" -39.634444 -12.721667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "215988" 2014 NA "Eugenia rosea" "Faria, JEQ" -39.635278 -12.721111 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ALCB" "26385" 1997 NA "Eugenia rosea" "Melo, E" -39.766667 -12.753333 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "HURB" "18269" 2018 NA "Eugenia rosea" "" -39.569722 -12.7275 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "HUFSJ" "8823" 2016 NA "Eugenia rosea" "Sobral, M" -39.613889 -12.638611 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "363987" 1997 NA "Eugenia rosea" "Faria Jr, JEQ" -39.783056 -12.753333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUEFS" "108386" 2006 NA "Eugenia rosea" "J.E.Q.Faria Júnior" -40.4875 -12.300833 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUEFS" "187320" 2001 NA "Eugenia rosea" "" -40.077778 -12.721667 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "UEC" "189386" 2014 NA "Eugenia rosea" "Lucas, E." -41.3534 -13.125 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"JABOT" "RB" "193337" 1978 NA "Eugenia rosea" "M.Sobral" -40.7875 -13.0297222222222 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
