"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "ASE" "ASE0032979" 2015 "2015-09-03" "Eugenia schottiana" "Freire, GS" -37.4327777777778 -11.0408333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01551133" 1995 NA "Eugenia schottiana" "M. Sobral" -44.6583333333333 -22.3583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0022399" 2009 NA "Eugenia schottiana" "Proença, C" -37.1836111111111 -10.5952777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01384477" 2017 "2018-03-06" "Eugenia schottiana" "M.C. Souza" -42.8625 -22.8961111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0028999" 2012 NA "Eugenia schottiana" "Sem determinador" -36.3655555555556 -10.315 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01240752" 1996 NA "Eugenia schottiana" "M. Sobral" -40.5747222222222 -15.2647222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01095488" 2005 NA "Eugenia schottiana" "M. Sobral" -39.3394444444444 -15.1741666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01195953" 2005 NA "Eugenia schottiana" "M. Sobral" -39.4141666666667 -15.2633333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES013213" 1996 NA "Eugenia schottiana" "França, F." -39.46 -12.43 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CEPEC" "CEPEC00134849" 2012 NA "Eugenia schottiana" "Sem determinador" -39.6038888888889 -14.7025 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01195950" 1991 NA "Eugenia schottiana" "C. E. B. Proença" -39.005 -15.3055555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01384476" 2017 "2018-03-06" "Eugenia schottiana" "M.C. Souza" -42.8541666666667 -22.8925 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0004123" 2014 "2014-06-02" "Eugenia schottiana" "Santana, JP" -37.0830555555556 -10.5033333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01095482" 2007 NA "Eugenia schottiana" "M. Sobral" -39.3416666666667 -15.1736111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01340802" 2016 "2018-06-08" "Eugenia schottiana" "Marcos Eduardo Guerra Sobral" -43.5872222222222 -18.1961111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
