"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"MO" "MO" "307878" 1992 NA "Eugenia schunkei" "B.K. Holst (SEL)" -69.28333 -12.83333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3486126" 2007 NA "Eugenia schunkei" "B Holst (SEL)" -78.721944 -5.063889 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"K" "Herbarium" "K001003048" 2001 NA "Eugenia schunkei" "" -70.01 -12.57 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"BRIT" "BRIT" "P. Centeno 123" 2001 NA "Eugenia schunkei" "E. Lucas & L. Jennings" -70.1 -12.57 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"K" "Herbarium" "K001003050" 1988 NA "Eugenia schunkei" "" -76.22 -0.95 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "793874" 1989 NA "Eugenia schunkei" "B.K. Holst (MO)" -77.66666 -0.71666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3580880" 2005 NA "Eugenia schunkei" "M.A. Chinchero (QCNE)" -77.83333 -0.63333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "313485" 1987 NA "Eugenia schunkei" "B.K. Holst (MO)" -77.605 -0.725 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "313492" 1993 NA "Eugenia schunkei" "B.K. Holst (MO)" -76.43333 -0.81666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "310292" 1993 NA "Eugenia schunkei" "B.K. Holst (MO)" -77.01666 -0.41666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "309285" 1988 NA "Eugenia schunkei" "B.K. Holst (MO)" -77.6 -1.06666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100698188" 2002 NA "Eugenia schunkei" "" -77.9 -2.533333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "100372422" 1998 NA "Eugenia schunkei" "B.K. Holst (SEL)" -76.46095 -0.626117 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100372337" 1998 NA "Eugenia schunkei" "B.K. Holst (SEL)" -76.190117 -1.022417 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100371914" 1998 NA "Eugenia schunkei" "B.K. Holst (SEL)" -76.457933 -0.604933 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100369696" 1998 NA "Eugenia schunkei" "B.K. Holst (SEL)" -76.2229 -0.975317 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100369198" 1997 NA "Eugenia schunkei" "B.K. Holst (SEL)" -76.2334 -0.866817 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100368743" 1997 NA "Eugenia schunkei" "B.K. Holst (SEL)" -76.462267 -0.627283 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100368512" 1997 NA "Eugenia schunkei" "B.K. Holst (SEL)" -76.278717 -0.864317 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100368476" 1997 NA "Eugenia schunkei" "B.K. Holst (SEL)" -76.437833 -0.670367 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100368340" 1997 NA "Eugenia schunkei" "B.K. Holst (SEL)" -76.464583 -0.642583 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100367927" 1997 NA "Eugenia schunkei" "B.K. Holst (SEL)" -76.42945 -0.665883 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"NHMUK" "BOT" "BM000552251" NA NA "Eugenia schunkei" "" -78.767071 -1.427421 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
