"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "CRI" "CRI004989" 2010 NA "Eugenia sclerocalyx" "Sem determinador" -49.05 -26.1 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33195" 2009 "2009-07-17" "Eugenia sclerocalyx" "Sobral, M" -49.0519444444444 -27.2686111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33194" 2009 NA "Eugenia sclerocalyx" "Sobral, M" -49.2277777777778 -27.5391666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00557608" 1996 NA "Eugenia sclerocalyx" "M. Sobral" -49.0552777777778 -25.3058333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "NYBG_BR" "405011" 1959 NA "Eugenia sclerocalyx" "" -49.132229 -27.025081 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "NYBG_BR" "557607" 1996 NA "Eugenia sclerocalyx" "M. Sobral" -49.0553 -25.3058 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "34926" 1996 NA "Eugenia sclerocalyx" "M. Sobral, 1999." -49.0833 -25.3 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "EFC" "14385" 2015 "2015-07-06" "Eugenia sclerocalyx" "Vieira, R.S." -48.8421 -25.2564 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "EFC" "16297" 2017 "2017-09-18" "Eugenia sclerocalyx" "Brotto, M.L." -48.6886 -25.6272 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "EFC" "7524" 1997 "1997-09-09" "Eugenia sclerocalyx" "Sobral, M." -48.9144 -25.4499 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "FURB" "33195" 2009 "2009-07-17" "Eugenia sclerocalyx" "Sobral, M" -49.0519444 -27.2686111 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
