"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY00594904" 1981 "2016-09-11" "Eugenia selloi" "Souza, M.C." -41.7866666666667 -22.3708333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000904987" 1999 NA "Eugenia selloi" "Bunger, M.O." -41.43 -22.1 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00557921" 1980 "2016-09-11" "Eugenia selloi" "Souza, M.C." -43.4213888888889 -23.0038888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00557958" 1937 NA "Eugenia selloi" "Sem determinador" -43.3691666666667 -22.9952777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00935253" 2013 "2013-04-17" "Eugenia selloi" "A.D.Mattedi" -41.0372222222222 -21.7611111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K001051668" 2007 NA "Eugenia selloi" "Sem determinador" -43.5327777777778 -23.0447222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01921347" 1982 "2016-09-11" "Eugenia selloi" "Souza, M.C." -42.8652777777778 -22.9588888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001051871" 2011 NA "Eugenia selloi" "Sem determinador" -43.5261111111111 -23.0316666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "IAC" "24920" 1964 NA "Eugenia selloi" "M.E.G. Sobral" -43.2075 -22.9028 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPF" "206458" 2009 "2010-10-20" "Eugenia selloi" "Souza, M" -42.225167 -22.940167 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPF" "206463" 2008 NA "Eugenia selloi" "Souza, M" -42.293611 -22.9375 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPF" "206462" 2008 NA "Eugenia selloi" "Giaretta, A" -42.293333 -22.937222 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"JABOT" "RB" "464867" 2008 NA "Eugenia selloi" "M. Souza" -42.2933333333333 -22.9372222222222 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "468102" 2008 "2008-05-06" "Eugenia selloi" "Marcelo Souza" -42.2302777777778 -22.9266666666667 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "468061" 2005 NA "Eugenia selloi" "Marcelo Souza" -42.2169444444444 -22.9313888888889 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "464883" 2008 NA "Eugenia selloi" "M. Souza" -42.2852777777778 -22.9377777777778 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "464219" 2008 NA "Eugenia selloi" "M. Souza" -42.2936111111111 -22.9375 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "469486" 2008 NA "Eugenia selloi" "M. Souza" -42.2938888888889 -22.9361111111111 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "474990" 2008 NA "Eugenia selloi" "" -42.2247222222222 -22.9397222222222 "PRESERVED_SPECIMEN" NA "JABOT" "4_sci_colection"
"JABOT" "RB" "554306" 2011 "2011-02-03" "Eugenia selloi" "A.V. Greco" -42.8963888888889 -22.965 "PRESERVED_SPECIMEN" NA "JABOT" "2_taxonomist"
"JABOT" "RB" "762880" 2018 "2018-07-04" "Eugenia selloi" "M. C. Souza" -42.3202777777778 -22.9238888888889 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JBRJ" "RB" "RB01121002" 2007 NA "Eugenia selloi" "Souza, M.C." -43.460556 -22.545 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
