"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "HUEFS" "HUEFS100584" NA NA "Eugenia sonderiana" "Sem determinador" -41.4666666666667 -12.45 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K001051716" 1983 "2013-07-23" "Eugenia sonderiana" "F.F. Mazine" -41.2666666666667 -12.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01340805" 2016 "2018-06-08" "Eugenia sonderiana" "M.Sobral" -43.5872222222222 -18.1961111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS121014" NA NA "Eugenia sonderiana" "Sem determinador" -42.69 -12.0344444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01119521" 2001 NA "Eugenia sonderiana" "J.E.Q.Faria" -41.1583333333333 -11.6380555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS081297" NA NA "Eugenia sonderiana" "Sem determinador" -41.5666666666667 -12.5166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "SPF" "SPF00218054" 2008 NA "Eugenia sonderiana" "Pena, MA" -43.3338888888889 -19.2722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00557978" 1978 NA "Eugenia sonderiana" "M. Sobral" -49.3141666666667 -25.1902777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907352" 1983 NA "Eugenia sonderiana" "M. Sobral" -39.5 -7.33 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS080208" NA NA "Eugenia sonderiana" "A.Stadnik" -39.5416666666667 -7.29277777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS035809" 1997 NA "Eugenia sonderiana" "Sem determinador" -41.3833333333333 -13 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS160182" NA NA "Eugenia sonderiana" "Sem determinador" -38.0122222222222 -12.3847222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00557994" 1965 NA "Eugenia sonderiana" "M. Sobral" -49.115 -25.2061111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
