"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "HSTM" "HSTM000592" 2015 "2016-03-01" "Eugenia stictopetala" "Sobral, M." -54.9722222222222 -2.50194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01898766" 1996 NA "Eugenia stictopetala" "F.F. Mazine" -48.4369444444444 -14.3905555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907769" 1970 NA "Eugenia stictopetala" "B. K. Holst" -45.05 -7.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS188053" NA NA "Eugenia stictopetala" "Sem determinador" -36.8983333333333 -7.47055555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0024504" 2007 NA "Eugenia stictopetala" "Sobrae, M" -38.4344444444444 -8.07138888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00907770" 1983 NA "Eugenia stictopetala" "M. L. Kawasaki" -47.42 -7.13 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907772" 1996 NA "Eugenia stictopetala" "M. Sobral" -56.6227777777778 -16.2569444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS163786" NA NA "Eugenia stictopetala" "M.Sobral" -45.0558333333333 -12.6588888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS161425" NA NA "Eugenia stictopetala" "Sem determinador" -42.4663888888889 -14.5697222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00517215" 1992 NA "Eugenia stictopetala" "M. Sobral" -42.47 -14.06 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CEN" "CEN00014616" 1987 NA "Eugenia stictopetala" "Jair Eustáquio Quintino Faria Junior" -50 -15.0833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01459703" 1986 NA "Eugenia stictopetala" "B. K. Holst" -57.5833333333333 -0.966666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01459631" 1986 NA "Eugenia stictopetala" "B. K. Holst" -57.0180555555556 -1.01555555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS121112" NA NA "Eugenia stictopetala" "Sem determinador" -43.2813888888889 -11.5975 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CEN" "CEN00013596" 1989 NA "Eugenia stictopetala" "Jair Eustáquio Quintino Faria Junior" -45.4666666666667 -11.1213888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907320" 1966 NA "Eugenia stictopetala" "F. F. Mazine" -52.08 -13.92 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01898884" 1974 NA "Eugenia stictopetala" "R. McVaugh" -41.2666666666667 -10.45 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001019784" 1988 NA "Eugenia stictopetala" "B.K. Holst" -59.3333333333333 3.75 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00557779" 1984 NA "Eugenia stictopetala" "B. K. Holst" -38.07 -6.03 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01459629" 1994 NA "Eugenia stictopetala" "M. A. D. de Souza" -59.97 -2.88333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001019817" 1968 NA "Eugenia stictopetala" "B.K. Holst" -51.7666666666667 -12.8166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01459632" 1981 NA "Eugenia stictopetala" "B. K. Holst" -49.5591666666667 -3.76416666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS140961" NA NA "Eugenia stictopetala" "Sem determinador" -42.5569444444444 -14.3233333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01459625" 1977 NA "Eugenia stictopetala" "M. G. da Silva" -49.9430555555556 -6.06611111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00557862" 1979 NA "Eugenia stictopetala" "F. F. Mazine" -44.99 -12.15 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907536" 1989 NA "Eugenia stictopetala" "E. J. Lucas" -42.83 -16.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS122697" NA NA "Eugenia stictopetala" "Sem determinador" -44.9688888888889 -12.3769444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01459794" NA NA "Eugenia stictopetala" "M. Sobral" -57.0572222222222 -1.00416666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001019802" 1987 NA "Eugenia stictopetala" "Sem determinador" -61.7666666666667 3.5 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CEN" "CEN00012787" 1989 NA "Eugenia stictopetala" "Bruno Machado Teles Walter" -45.2 -12.4666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS132607" NA NA "Eugenia stictopetala" "Sem determinador" -44.3158333333333 -13.7261111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K001019803" 1982 NA "Eugenia stictopetala" "Souza" -62.7 -3.36666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01133233" 2015 NA "Eugenia stictopetala" "J.E.Q. Faria" -52.5038888888889 -19.6238888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUFU" "HUFU00017334" 2000 "2000-12-17" "Eugenia stictopetala" "Proença, C" -45.16 -16.22 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907415" 1989 NA "Eugenia stictopetala" "J. E. Q. de Faria" -42.97 -16.6 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01459696" 1981 NA "Eugenia stictopetala" "B. K. Holst" -49.6736111111111 -3.99055555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001019825" 1994 NA "Eugenia stictopetala" "M.A.D. Souza" -59.9666666666667 -2.88333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00807030" 2013 NA "Eugenia stictopetala" "M. Sobral" -43.4888888888889 -9.22166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RON" "RON00006113" 2012 NA "Eugenia stictopetala" "Sobral, M" -65.0519444444444 -9.42166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01459689" NA NA "Eugenia stictopetala" "B. K. Holst" -49.5708333333333 -3.77722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907799" NA NA "Eugenia stictopetala" "C. M. D. E. Legrand" -47.6666666666667 -15.5263888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS100051" NA NA "Eugenia stictopetala" "Sem determinador" -60.6166666666667 -18.4 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00968843" 2015 "2015-08-03" "Eugenia stictopetala" "T.S. Mendes" -56.2977777777778 -16.5147222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K001019837" 1968 NA "Eugenia stictopetala" "C. Proença" -51.7666666666667 -12.8166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01459633" 1987 NA "Eugenia stictopetala" "Sem determinador" -61.77 3.5 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS083587" NA NA "Eugenia stictopetala" "Sem determinador" -38.3 -9.33333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01459662" 1978 NA "Eugenia stictopetala" "M. Sobral" -55.0594444444444 -3.39694444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0014337" 1982 NA "Eugenia stictopetala" "Sem determinador" -37.0416666666667 -10.5438888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00968919" 2015 "2015-08-03" "Eugenia stictopetala" "T. S. Mendes" -56.2805555555556 -16.5886111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01898878" 1994 NA "Eugenia stictopetala" "Sem determinador" -41.42 -12.4622222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01119117" 1995 NA "Eugenia stictopetala" "F.F. Mazine" -56.2113888888889 -23.7961111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001019808" 1981 NA "Eugenia stictopetala" "M. Sobral" -49.5333333333333 -3.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000812569" 1980 NA "Eugenia stictopetala" "Faria, J.E.Q." -42.5 -14.12 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907506" 1980 NA "Eugenia stictopetala" "F. F. Mazine" -54.6355555555556 -16.4708333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001019798" 1986 NA "Eugenia stictopetala" "B. Holst" -57.0333333333333 -1 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "SPF" "SPF00220884" 2015 NA "Eugenia stictopetala" "Faria, JEQ" -46.7652777777778 -10.6061111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
