"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "MAC" "MAC0035639" 2009 "2009-02-04" "Eugenia subterminalis" "E.C.O.Chagas" -36.5 -10.2019444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33165" 2009 NA "Eugenia subterminalis" "Sobral, M" -49.4091666666667 -28.7091666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI004988" 2007 NA "Eugenia subterminalis" "J. Cordeiro" -53.0277777777778 -24.1852777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB02479" 2007 "2008-04-27" "Eugenia subterminalis" "Sobral, M" -50.5802777777778 -26.3813888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UNOP" "UNOP002425" 2014 "2014-10-16" "Eugenia subterminalis" "Aguiar, O.T." -53.5719444444444 -25.1825 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000016654" 2009 "2013-07-03" "Eugenia subterminalis" "M.G. Caxambu" -53.19 -24.5338888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000001393" NA NA "Eugenia subterminalis" "Sem determinador" -39.63 -14.7 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K001021321" 1999 "2013-07-10" "Eugenia subterminalis" "F.F. Mazine" -44.9166666666667 -21.6333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001021322" 1995 NA "Eugenia subterminalis" "M.A.D. Souza" -59.9666666666667 -2.88333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001021326" 1994 NA "Eugenia subterminalis" "J.E.Q. Faria" -56.9166666666667 -25.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00607698" 2010 NA "Eugenia subterminalis" "M.SOBRAL" -56.6402777777778 -21.1041666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01095765" 1983 NA "Eugenia subterminalis" "M. Sobral" -39.5308333333333 -17.0394444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UNOP" "UNOP004361" 2007 "2017-01-27" "Eugenia subterminalis" "Sobral, M." -54.19 -24.15 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00594901" 1982 NA "Eugenia subterminalis" "M. C. H. Mamede" -54.2555555555556 -24.08 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HCF" "HCF000016652" 2013 NA "Eugenia subterminalis" "J. Cordeiro" -54.0705555555556 -22.51 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00557756" 1953 NA "Eugenia subterminalis" "C. M. D. E. Legrand" -48.9102777777778 -27.1266666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00949418" 2013 NA "Eugenia subterminalis" "J.E.Q. Faria" -50.6333333333333 -16.9833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "CEPEC" "127708" NA NA "Eugenia subterminalis" "M. Sobral" -39.25 -16.5 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
