"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"UACh" "CHAP" "18420" 1987 NA "Eugenia trikii" "F. Ramos M." -90.3 18.628889 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2863618" 1996 NA "Eugenia trikii" "F.R. Barrie" -89.804722 18.141944 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2866254" 1973 NA "Eugenia trikii" "F.R. Barrie" -88.75 18.166667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1704718" 1990 NA "Eugenia trikii" "F.R. Barrie" -89.05 18.1 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"CICY" "CICY" "53058" 1962 NA "Eugenia trikii" "C.L. Lundell" -89.616667 17.216667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3428846" 1961 NA "Eugenia trikii" "F.R. Barrie" -89.91527 16.89555 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2866253" 1970 NA "Eugenia trikii" "F.R. Barrie" -89.90944 16.96916 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2866246" 1999 NA "Eugenia trikii" "F.R. Barrie" -88.71666 16.56666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2866247" 1962 NA "Eugenia trikii" "F.R. Barrie" -89.92527 16.97083 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2866248" 1962 NA "Eugenia trikii" "F.R. Barrie" -89.61305 17.225 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864908" 1966 NA "Eugenia trikii" "F.R. Barrie" -89.94638 16.88472 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863609" 1973 NA "Eugenia trikii" "F.R. Barrie" -89.59722 17.38833 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863613" 1966 NA "Eugenia trikii" "F.R. Barrie" -89.89083 16.92111 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863612" 1966 NA "Eugenia trikii" "F.R. Barrie" -89.63888 16.96777 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863600" 1969 NA "Eugenia trikii" "F.R. Barrie" -89.40694 17.70444 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
