"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "MAC" "MAC0017824" 2002 "2009-03-29" "Eugenia uniflora" "E.C.O.Chagas" -37.1030555555556 -10.2569444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0055192" 2012 NA "Eugenia uniflora" "Sem determinador" -36.2313888888889 -10.1161111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0023567" 1970 NA "Eugenia uniflora" "M.Sobral" -47.0436111111111 -24.0788888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0000218" 1977 NA "Eugenia uniflora" "G.L.Esteves" -36.2019444444445 -10.1186111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0008501" 1993 NA "Eugenia uniflora" "C.S.S.Barros" -36.7019444444445 -9.97583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0054385" 2011 NA "Eugenia uniflora" "Sem determinador" -36.6638888888889 -9.75555555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0023458" 1994 NA "Eugenia uniflora" "M.L.Kawasaki" -47.2258333333333 -23.6186111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FLOR" "FLOR0062578" 2012 "2012-09-09" "Eugenia uniflora" "Setubal, R.B." -48.6333333333333 -26.0666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33128" 2010 "2010-02-20" "Eugenia uniflora" "Stival-Santos, A" -48.87 -27.63 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33119" 2009 NA "Eugenia uniflora" "Sobral, M" -51.93 -27 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33131" 2010 "2010-02-05" "Eugenia uniflora" "Stival-Santos, A" -48.8702777777778 -27.5394444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33124" 2010 "2010-09-29" "Eugenia uniflora" "Dreveck, S" -51.4447222222222 -27.52 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUENF" "HUENF00010721" 2016 "2017-11-30" "Eugenia uniflora" "Souza, M.C." -41.5644444444444 -21.7777777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB55419" 2017 "2017-10-23" "Eugenia uniflora" "Kassner-Filho, A." -49.32 -28.89 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33123" 2004 NA "Eugenia uniflora" "Sem determinador" -49.2388888888889 -25.4419444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUENF" "HUENF00000157" 1995 NA "Eugenia uniflora" "Sem determinador" -41.0311111111111 -21.74 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005155" 1996 NA "Eugenia uniflora" "Eufinis Giacomelli" -49.37 -28.6780555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33141" 2015 "2015-03-19" "Eugenia uniflora" "Oliveira, AA de" -50.0375 -26.8186111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI005160" 2007 NA "Eugenia uniflora" "Sem determinador" -49.4663888888889 -28.8708333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005159" NA NA "Eugenia uniflora" "Elaine T. G. Carvalho" -49.4861111111111 -28.9352777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005150" 2011 "2011-10-08" "Eugenia uniflora" "M. Verdi" -50.1516666666667 -29.7788888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33121" 1999 "2005-08-12" "Eugenia uniflora" "Uhlmann, A" -49.1080555555556 -27.0169444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33134" 2011 NA "Eugenia uniflora" "Gonzatti, F" -50.4791666666667 -30.2586111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005156" 1989 NA "Eugenia uniflora" "J. A. Jarenkow" -52.6322222222222 -31.5888888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33138" 2014 "2014-01-19" "Eugenia uniflora" "Funez, L.A." -49.0583333333333 -26.9191666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33132" 2011 "2011-08-24" "Eugenia uniflora" "Rigon-Junior, MJ" -49.0775 -26.8986111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33126" 2012 "2012-02-20" "Eugenia uniflora" "Gasper, AL de" -49.4116666666667 -26.7847222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005153" 1989 NA "Eugenia uniflora" "J. A. Jarenkow" -51.8125 -30.8516666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33133" 2010 NA "Eugenia uniflora" "Sobral, M" -49.2180555555556 -28.805 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI005157" 2007 "2007-08-10" "Eugenia uniflora" "Vanilde Citadini- Zanette" -49.4980555555556 -28.6372222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33135" 2013 "2013-01-21" "Eugenia uniflora" "Funez, L.A." -49.0944444444444 -27.0611111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005152" 1995 NA "Eugenia uniflora" "J. A. Jarenkow" -51.9066666666667 -27.4622222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33137" 2012 "2013-03-19" "Eugenia uniflora" "Funez, L.A." -49.3383333333333 -27.0683333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UNOP" "UNOP005287" 2007 "2007-10-19" "Eugenia uniflora" "Caxambu, M.G." -52.1905555555556 -24.0619444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01017314" 1968 NA "Eugenia uniflora" "M. Sobral" -49.0766666666667 -25.3658333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ECT" "ECT0001623" 2009 "2009-10-15" "Eugenia uniflora" "G. Heiden" -52.4438888888889 -31.6797222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01017372" 1994 NA "Eugenia uniflora" "S. F. Smith" -51.1791666666667 -29.1683333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
