"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB01219579" 2015 "2018-06-08" "Marlierea clausseniana" "M.Sobral" -43.6975 -20.0155555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907649" 1989 NA "Marlierea clausseniana" "M. L. Kawasaki" -42.82 -16.53 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01365014" 2017 "2018-06-08" "Marlierea clausseniana" "M.Sobral" -43.2594444444444 -19.1875 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615449" 1978 NA "Marlierea clausseniana" "M. Sobral" -39.2541666666667 -15.1469444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00908441" NA NA "Marlierea clausseniana" "M. L. Kawasaki" -43.7263888888889 -19.8330555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00908414" 1973 NA "Marlierea clausseniana" "M. L. Kawasaki" -43.7447222222222 -19.5136111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331875" 2004 NA "Marlierea clausseniana" "Sem determinador" -43.85 -19.93 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00908444" 1990 NA "Marlierea clausseniana" "M. L. Kawasaki" -42.9080555555556 -16.5580555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00986120" 2011 NA "Marlierea clausseniana" "M.F.SANTOS" -43.5666666666667 -19.2666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00908440" 1980 NA "Marlierea clausseniana" "M. L. Kawasaki" -43.7141666666667 -19.1691666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615451" 1990 NA "Marlierea clausseniana" "M. L. Kawasaki" -42.97 -16.58 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0032456" 2010 NA "Marlierea clausseniana" "Lourenço, AR" -36.0833333333333 -8.19333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000330818" 1945 NA "Marlierea clausseniana" "Sem determinador" -43.95 -19.85 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00908418" 1945 NA "Marlierea clausseniana" "M. L. Kawasaki" -43.9377777777778 -19.9208333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "SPF" "SPF00218046" 2007 NA "Marlierea clausseniana" "Pena, MA" -43.3516666666667 -19.1702777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "SPF" "SPF00218045" 2007 NA "Marlierea clausseniana" "Pena, MA" -43.3516666666667 -19.1722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00826248" 2013 "2015-06-24" "Marlierea clausseniana" "M. Sobral" -43.5533333333333 -19.2905555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS079272" NA NA "Marlierea clausseniana" "M.Sobral" -43.3666666666667 -19.8833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000330822" 1985 NA "Marlierea clausseniana" "Kawasaki, M.L." -42.75 -16.73 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343587" 1981 NA "Marlierea clausseniana" "Sem determinador" -47.22 -19.87 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS141414" NA NA "Marlierea clausseniana" "M.Sobral" -43.5016666666667 -20.0230555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00908419" 1990 NA "Marlierea clausseniana" "M. L. Kawasaki" -42.92 -16.6 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES026502" 2010 NA "Marlierea clausseniana" "Faria, J.E.Q." -43.2058333333333 -19.5119444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000330824" 2002 NA "Marlierea clausseniana" "Sobral, M." -43.82 -19 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "G" "G00223339" NA "2003-01-01" "Marlierea clausseniana" "Matsumoto, K." -45.44222222 -18.78777778 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NHM-LONDON-BOT" "BM000884402" NA NA "Marlierea clausseniana" "K. Matsumoto; K.Matsumoto" -44.096503 -19.690239 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "BHZB" "9500" 2012 NA "Marlierea clausseniana" "Marcos Sobral" -43.701389 -19.035278 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "BHZB" "9502" 2012 NA "Marlierea clausseniana" "Marcos Sobral" -43.694722 -19.035278 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "BHZB" "9589" 2012 NA "Marlierea clausseniana" "Marcos Sobral" -43.71 -19.040833 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00908414" 1973 NA "Marlierea clausseniana" "M. L. Kawasaki" -43.7447 -19.5136 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00908418" 1945 NA "Marlierea clausseniana" "M. L. Kawasaki" -43.9378 -19.9208 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00908440" 1980 NA "Marlierea clausseniana" "M. L. Kawasaki" -43.7142 -19.1692 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00908441" 1971 NA "Marlierea clausseniana" "M. L. Kawasaki" -43.676328 -19.820266 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00908444" 1990 NA "Marlierea clausseniana" "M. L. Kawasaki" -42.908 -16.558 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "615449" 1978 NA "Marlierea clausseniana" "M. Sobral" -39.2540887 -15.1469363 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "EAC" "52861" 2003 NA "Marlierea clausseniana" "Costa, I.R." -44.621639 -21.31125 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "EAC" "52858" 2004 NA "Marlierea clausseniana" "Costa, I.R." -43.560583 -18.302444 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "BHCB" "122083" 2007 NA "Marlierea clausseniana" "" -43.501667 -20.023056 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "BHCB" "136792" 2007 NA "Marlierea clausseniana" "" -43.402056 -19.396361 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "BHCB" "136797" 2007 NA "Marlierea clausseniana" "" -43.401611 -19.397 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "UB" "161947" 2010 NA "Marlierea clausseniana" "Faria, JEQ" -43.349444 -19.855278 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "167711" 2011 NA "Marlierea clausseniana" "" -43.583611 -18.233611 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "ASE" "28382" 2010 NA "Marlierea clausseniana" "Lourenço, AR" -36.1425 -8.325833 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "FUEL" "40062" 2003 NA "Marlierea clausseniana" "Sobral, M" -43.366667 -19.883333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "286282" 1990 NA "Marlierea clausseniana" "Kawasaki, ML" -42.916667 -16.6 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "286283" 1990 NA "Marlierea clausseniana" "Kawasaki, ML" -42.966667 -16.583333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "286305" 1990 NA "Marlierea clausseniana" "Kawasaki, ML" -42.9 -16.55 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "286308" 1987 NA "Marlierea clausseniana" "Kawasaki, ML" -42.916667 -16.541667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "343820" 1999 NA "Marlierea clausseniana" "Kawasaki, ML" -43.333333 -18.083333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CESJ" "63910" 2011 NA "Marlierea clausseniana" "F. Marinero" -48.80975 -25.832111 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "SPF" "160890" 2002 NA "Marlierea clausseniana" "Sobral, M" -43.369444 -19.883333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPF" "176852" 2006 NA "Marlierea clausseniana" "Santos, MF" -43.335833 -18.453056 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPF" "198092" 2007 NA "Marlierea clausseniana" "Santos, MF" -43.401944 -19.396111 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPF" "198093" 2007 NA "Marlierea clausseniana" "Santos, MF" -43.401389 -19.396944 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPF" "218045" 2007 NA "Marlierea clausseniana" "Pena, MA" -43.587778 -19.289444 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "SPF" "218046" 2007 NA "Marlierea clausseniana" "Pena, MA" -43.588333 -19.284444 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "SPF" "66912" 1989 NA "Marlierea clausseniana" "Kawasaki, ML" -42.816667 -16.533333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"JABOT" "RB" "776025" 2018 NA "Marlierea clausseniana" "T. Fernandes, J.E.Q. Faria & T.N.C. Vasconcelos" -43.4997222222222 -19.2072222222222 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "603312" 2012 NA "Marlierea clausseniana" "M.F.SANTOS" -43.3311111111111 -19.4138888888889 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "480507" 2007 NA "Marlierea clausseniana" "M..Sobral" -43.0433333333333 -16.8525 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"Universidade Federal de Minas Gerais (UFMG)" "BHCB" "163947" 2012 NA "Marlierea clausseniana" "" -43.810778 -20.6582 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -42.95439911 -18.69389915 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -40.875 -17.69219971 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea clausseniana" NA -42.4306 -19.5111 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea clausseniana" NA -41.8428 -20.4161 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -35.89720154 -8.745599747 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea clausseniana" NA -40.3814 -19.2542 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea clausseniana" NA -43.3342 -18.2314 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -40.28079987 -17.8321991 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea clausseniana" NA -42.7186 -21.3739 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea clausseniana" NA -41.0647 -16.1269 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea clausseniana" NA -44.6086 -21.3525 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -41.57749939 -15.39360046 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -42.91859818 -16.5468998 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea clausseniana" NA -42.5294 -17.8792 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -43.74110031 -19.11330032 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -42.96611023 -18.24222183 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -43.99670029 -20.13689995 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea clausseniana" NA -43.1053 -21.2731 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea clausseniana" NA -43.4494 -18.2656 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -41.11389923 -20.07780075 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea clausseniana" NA -40.995 -15.7414 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -40.81579971 -18.42860031 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -41.30080032 -15.95440006 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -43.03310013 -16.69389915 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -43.86640167 -19.72439957 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -42.42860031 -21.08029938 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -43.54669952 -19.26140022 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea clausseniana" NA -43.4361 -19.2064 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea clausseniana" NA -43.8089 -19.8783 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -41.06470108 -16.12689972 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -43.36330032 -19.90189934 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -40.77750015 -19.21780014 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea clausseniana" NA -43.1167 -19.8467 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea clausseniana" NA -39.095 -15.1753 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Marlierea clausseniana" NA -35.70330048 -8.524200439 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea clausseniana" NA -43.5317 -18.4842 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea clausseniana" NA -43.0331 -16.6939 NA NA "BIEN" "6_no_criteria_met"
