"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB33010" 2010 "2010-03-17" "Marlierea eugeniopsoides" "Stival-Santos, A" -48.6894444444444 -27.5402777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33005" 2010 "2010-08-15" "Marlierea eugeniopsoides" "Sobral, M" -49.32 -27.09 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33081" 2001 NA "Marlierea eugeniopsoides" "Sobral, M" -49.0719444444444 -26.9213888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI005260" 1993 NA "Marlierea eugeniopsoides" "Marcos Sobral" -48.65 -26.15 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32990" 2010 "2010-06-24" "Marlierea eugeniopsoides" "Korte, A" -49.77 -26.8216666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005010" 2011 "2011-07-22" "Marlierea eugeniopsoides" "Ronaldo dos Santos Junior" -50.0711111111111 -29.5858333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33014" 2010 "2010-04-08" "Marlierea eugeniopsoides" "Oliveira, AA de" -48.7766666666667 -26.5480555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI010103" NA NA "Marlierea eugeniopsoides" "Aline Votri Guislon" -49.4213888888889 -28.1369444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33004" 2010 "2010-09-30" "Marlierea eugeniopsoides" "Gasper, AL de" -48.6019444444444 -27.1494444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005141" 2012 "2012-02-02" "Marlierea eugeniopsoides" "A. L. de Gasper" -50.6441666666667 -27.0536111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33050" 2009 "2009-09-23" "Marlierea eugeniopsoides" "Dreveck, S" -48.7802777777778 -26.1002777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005143" 2009 NA "Marlierea eugeniopsoides" "Sem determinador" -49.6819444444444 -28.9280555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005138" 2004 "2004-04-24" "Marlierea eugeniopsoides" "M. Sobral" -49.3002777777778 -28.7138888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33072" 2010 "2010-10-13" "Marlierea eugeniopsoides" "Verdi, M" -48.87 -28.08 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32989" 2010 "2010-08-25" "Marlierea eugeniopsoides" "Stival-Santos, A" -48.87 -27.45 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB52940" 2017 "2017-05-02" "Marlierea eugeniopsoides" "M. Sobral" -49.2836111111111 -26.8261111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33023" 2010 "2010-04-09" "Marlierea eugeniopsoides" "Korte, A" -49.7705555555556 -27.0902777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33090" 2014 "2014-09-03" "Marlierea eugeniopsoides" "Seubert, RC" -49.2016666666667 -27.1205555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB02490" 2009 NA "Marlierea eugeniopsoides" "Vieira, FCS" -49.3786111111111 -26.2505555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32999" 2010 "2010-03-23" "Marlierea eugeniopsoides" "Stival-Santos, A" -48.96 -27.4497222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB54956" 2017 "2017-08-16" "Marlierea eugeniopsoides" "Kassner-Filho, A." -48.78 -27.36 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33059" 2010 "2010-08-25" "Marlierea eugeniopsoides" "Korte, A" -49.8605555555556 -26.6402777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
