"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "ASE" "ASE0027726" 2011 NA "Marlierea excoriata" "Proença, C" -37.2527777777778 -11.2352777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0025403" 1982 NA "Marlierea excoriata" "C.Proença" -37.8333333333333 -11.5591666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUENF" "HUENF00001333" 1997 NA "Marlierea excoriata" "Sem determinador" -41.7969444444444 -21.8469444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB51539" 2016 "2017-05-02" "Marlierea excoriata" "M. Sobral" -49.3788888888889 -26.9430555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI005252" 1992 NA "Marlierea excoriata" "Marcos Sobral" -49.2916666666667 -28.3594444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI005253" 1987 NA "Marlierea excoriata" "Vanilde Citadini- Zanette" -49.6794444444444 -28.9266666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0021021" 2008 NA "Marlierea excoriata" "Proença, C" -37.2616666666667 -11.1608333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0017898" 2000 NA "Marlierea excoriata" "Proença, C" -37.1836111111111 -10.5952777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY02714789" 2000 NA "Marlierea excoriata" "M. Sobral" -39.5361111111111 -15.1602777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000330691" 1986 NA "Marlierea excoriata" "Barroso, G.M." -41.35 -21.17 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY02499267" 1999 NA "Marlierea excoriata" "V. G. Staggemeier" -39.4133333333333 -16.8633333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615495" 1931 NA "Marlierea excoriata" "M. L. Kawasaki" -46.6183333333333 -23.6461111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0036558" 2015 NA "Marlierea excoriata" "Sem determinador" -36.2908333333333 -10.2758333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01136350" 1995 NA "Marlierea excoriata" "M. Sobral" -44.5666666666667 -22.25 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0033002" 2014 "2015-09-03" "Marlierea excoriata" "Freire, GS" -36.3452777777778 -10.2744444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01236245" 2015 NA "Marlierea excoriata" "A. Giaretta" -42.4405555555556 -22.3669444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
