"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"MO" "MO" NA 1987 NA "Marlierea maguirei" NA -66.15833 5.68333 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"MO" "F, MO, SEL, VEN" NA 1988 NA "Marlierea maguirei" NA -65.5333333 3.5666667 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Marlierea maguirei" NA -55.8006 0.5736 NA NA "BIEN" "6_no_criteria_met"
"MO" "MO" NA 1986 NA "Marlierea maguirei" NA -66.05 5.3 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"MO" "MO" NA 1987 NA "Marlierea maguirei" NA -66.125 5.68333 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"MO" "MO" NA 1987 NA "Marlierea maguirei" NA -66.14166 5.68333 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Marlierea maguirei" NA -66.1394 5.6814 NA NA "BIEN" "6_no_criteria_met"
"MO" "MO" NA 1987 NA "Marlierea maguirei" NA -66.15 5.68333 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"MO" "MO" NA 1988 NA "Marlierea maguirei" NA -65.53333 3.56666 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Marlierea maguirei" NA -50.4392 -6.3469 NA NA "BIEN" "6_no_criteria_met"
"MO" "MO" NA 1987 NA "Marlierea maguirei" NA -66.1 5.63333 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Marlierea maguirei" NA -66.8267 5.3978 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea maguirei" NA -65.2622 5.3497 NA NA "BIEN" "6_no_criteria_met"
