"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY00615507" 1954 NA "Marlierea regeliana" "C. M. D. E. Legrand" -48.6616666666667 -26.9080555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00981736" 2012 NA "Marlierea regeliana" "M.F. Santos" -43.2558333333333 -22.9661111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "G" "G00359530" NA "2011-01-01" "Marlierea regeliana" "Lucas, E." -42.9125 -22.48222222 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEPEC" "123741" 2007 NA "Marlierea regeliana" "" -39.083333 -14.416667 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "CEPEC" "127734" NA NA "Marlierea regeliana" "M. Sobral" -39.25 -16.5 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEPEC" "81089" NA NA "Marlierea regeliana" "A. M. Amorim" -39.528611 -15.158056 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "CEPEC" "84363" NA NA "Marlierea regeliana" "A. M. Amorim" -39.536111 -15.160278 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "NYBG_BR" "00749514" 1998 NA "Marlierea regeliana" "A. M. Amorim" -39.58 -15.17 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "NYBG_BR" "615507" 1954 NA "Marlierea regeliana" "C. M. D. E. Legrand" -48.6617 -26.9081 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "56127" 1985 NA "Marlierea regeliana" "M. Sobral (specieslink at RB)" -40.6 -19.9167 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "57391" 2007 NA "Marlierea regeliana" "M. L. Guedes" -41.38333 -12.55 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "BHCB" "113294" 2007 NA "Marlierea regeliana" "" -38.3125 -12.74 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "ALCB" "82090" 2007 NA "Marlierea regeliana" "Guedes, ML" -41.383333 -12.55 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "MBML-HERBARIO" "1056" 1985 NA "Marlierea regeliana" "M. Sobral/1995" -40.530278 -19.971389 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPF" "204756" 2006 NA "Marlierea regeliana" "Sobral, M" -39.565278 -15.391667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
