"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB00981728" 2012 NA "Marlierea suaveolens" "M.F. Santos" -42.0261111111111 -22.4361111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01116882" NA NA "Marlierea suaveolens" "Sem determinador" -47.9247222222222 -24.1913888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01315369" NA NA "Marlierea suaveolens" "N.M. Ivanauskas" -47.8769444444444 -24.6758333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000343693" 1999 NA "Marlierea suaveolens" "Lucas, E." -41.02 -19.07 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615537" 1988 NA "Marlierea suaveolens" "Sem determinador" -42.05 -22 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01162888" 2016 NA "Marlierea suaveolens" "E.F. Guimarães" -42.505 -22.4363888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "VIES" "VIES025086" 2012 "2012-05-05" "Marlierea suaveolens" "Souza, M.C.; Giaretta, A.O." -39.7322222222222 -18.5933333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01162935" 2016 NA "Marlierea suaveolens" "E.F. Guimarães" -42.4958333333333 -22.375 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00615540" 1956 NA "Marlierea suaveolens" "C. M. D. E. Legrand" -48.9411111111111 -26.7486111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615538" 1967 NA "Marlierea suaveolens" "M. L. Kawasaki" -49.0552777777778 -25.3058333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01389122" 2015 NA "Marlierea suaveolens" "L. F. Gonçalves" -43.0022222222222 -22.4583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "MOBOT_BR" "311799" 1985 NA "Marlierea suaveolens" "K. Matsumoto" -40.1466666 -19.3575 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "615538" 1967 NA "Marlierea suaveolens" "M. L. Kawasaki" -49.0553 -25.3058 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SINBIOTA" "123820029" NA NA "Marlierea suaveolens" "" -47.873299 -24.2006 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "123920075" NA NA "Marlierea suaveolens" "" -45.033299 -23.2167 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "18300116" NA NA "Marlierea suaveolens" "" -45.4366 -23.586 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "199200061" NA NA "Marlierea suaveolens" "" -45.081902 -23.3736 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "199220065" NA NA "Marlierea suaveolens" "" -45.084202 -23.3661 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "205170078" NA NA "Marlierea suaveolens" "" -45.5 -23.633333 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "205180057" NA NA "Marlierea suaveolens" "" -45.516667 -23.583333 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "205570019" NA NA "Marlierea suaveolens" "" -44.834444 -23.335556 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "49010050" NA NA "Marlierea suaveolens" "" -47.9249 -24.181 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "9510007" NA NA "Marlierea suaveolens" "" -47.965302 -24.07 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "CVRD" "14193" 2012 "2015-06-30" "Marlierea suaveolens" "A. Giaretta" -39.960278 -19.095 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "F_BOTANY_BR" "V0093419F" NA NA "Marlierea suaveolens" "" -52.8731 -10.8339 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "F_BOTANY_BR" "V0349027F" 1988 NA "Marlierea suaveolens" "RRC ID Flag" -42.5 -22 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SPSF" "47069" 2002 NA "Marlierea suaveolens" "" -47.924722 -24.183056 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "RBR" "42263" 2015 NA "Marlierea suaveolens" "L.F. Gonçalves" -43.0022222 -22.4583333 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "RBR" "42264" 2015 NA "Marlierea suaveolens" "L.F. Gonçalves" -43.0025 -22.4577778 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "RBR" "43729" 2013 NA "Marlierea suaveolens" "Alverga, T.P.P." -43.2552778 -22.9730556 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "SP" "314384" 1994 NA "Marlierea suaveolens" "" -44.85 -23.173119 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SP" "320432" 1995 "1995-10-10" "Marlierea suaveolens" "Aguiar, OT" -47.885 -24.608333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "320481" 1995 NA "Marlierea suaveolens" "Ivanauskas, NM" -47.876944 -24.608333 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "IAC" "49885" 2007 "2007-10-01" "Marlierea suaveolens" "E. Ramos et al." -45.082347 -23.373234 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "IAC" "53945" 2012 "2013-01-20" "Marlierea suaveolens" "J.A.M.A. Gomes" -45.0711 -23.4339 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "SPF" "214598" 2012 NA "Marlierea suaveolens" "Santos, MF" -42.026167 -22.436361 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"JABOT" "RB" "451190" 2007 "2012-08-23" "Marlierea suaveolens" "Leidiana Lima" -40.1152777777778 -19.4294444444444 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "447354" 2006 NA "Marlierea suaveolens" "Mazine-Capello, F. F." -40.4852777777778 -19.1397222222222 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "768466" 2018 NA "Marlierea suaveolens" "L.F. Gonçalves" -43.0008333333333 -22.4513888888889 "PRESERVED_SPECIMEN" NA "JABOT" "2_taxonomist"
"JABOT" "RB" "336118" 1995 NA "Marlierea suaveolens" "N.M. Ivanauskas" -47.8769444444444 -24.6083333333333 "PRESERVED_SPECIMEN" NA "JABOT" "2_taxonomist"
"ntt" NA NA NA NA "Marlierea suaveolens" NA -44.8411 -23.3369 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea suaveolens" NA -40.1431 -18.3408 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea suaveolens" NA -45.4272 -23.6069 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea suaveolens" NA -42.5311 -22.305 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea suaveolens" NA -44.2897 -22.6314 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea suaveolens" NA -47.1428 -23.9347 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea suaveolens" NA -48.7794 -26.1008 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea suaveolens" NA -48.2681 -25.2208 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea suaveolens" NA -48.0644 -24.2264 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Marlierea suaveolens" NA -47.8964 -24.6147 NA NA "BIEN" "6_no_criteria_met"
