"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB32939" 2009 "2009-07-17" "Myrceugenia alpigena" "Sobral, M" -49.4122222222222 -27.9922222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI005226" NA "2013-11-12" "Myrceugenia alpigena" "Vanilde C. Zanette" -49.9505555555556 -29.1972222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32942" 2011 "2011-03-31" "Myrceugenia alpigena" "Gasper, AL de" -45.3147222222222 -22.5925 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01390910" 2017 NA "Myrceugenia alpigena" "L.F. Gonçalves" -43.0347222222222 -22.4622222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32946" 2012 "2015-07-10" "Myrceugenia alpigena" "Sobral, M" -49.2583333333333 -26.2133333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32947" 2010 "2015-07-10" "Myrceugenia alpigena" "Sobral, M" -49.2238888888889 -26.2819444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01391018" 2018 NA "Myrceugenia alpigena" "L.F. Gonçalves" -43.0255555555556 -22.4602777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32938" 2009 "2009-07-17" "Myrceugenia alpigena" "Sobral, M" -49.5911111111111 -28.0825 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01390827" 2016 NA "Myrceugenia alpigena" "L.F. Gonçalves" -43.0427777777778 -22.4669444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32937" 2008 "2008-04-01" "Myrceugenia alpigena" "Sobral, M" -50.5786111111111 -27.6319444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32936" 2004 "2005-08-12" "Myrceugenia alpigena" "Uhlmann, A" -49.2036111111111 -26.8833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32943" 2010 NA "Myrceugenia alpigena" "Sobral, M" -48.87 -28.08 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32945" 2015 "2015-01-26" "Myrceugenia alpigena" "Oliveira, AA de" -50.0394444444444 -27.5402777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32940" 2011 NA "Myrceugenia alpigena" "Sobral, M" -42.5869444444444 -22.3536111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI005225" 1992 NA "Myrceugenia alpigena" "Marcos Sobral" -49.9502777777778 -29.1966666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00908336" 1985 NA "Myrceugenia alpigena" "G. M. Barroso" -41.9041666666667 -20.5233333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CEPEC" "CEPEC00111082" 2006 NA "Myrceugenia alpigena" "M.Sobral" -41.9502777777778 -13.5502777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01339575" 2000 NA "Myrceugenia alpigena" "LDMEIRELES" -41.8080555555556 -20.41 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00932141" 2015 NA "Myrceugenia alpigena" "C. Baez" -42.5905555555556 -22.3622222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00931377" 2014 "2016-03-21" "Myrceugenia alpigena" "M.C.SOUZA" -44.7158333333333 -22.3658333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615625" 1945 NA "Myrceugenia alpigena" "M. L. Kawasaki" -44.1980555555556 -19.9680555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS182244" NA NA "Myrceugenia alpigena" "Sem determinador" -41.8852777777778 -13.3655555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00903371" 2013 "2014-08-05" "Myrceugenia alpigena" "Neves, D.M." -41.8111111111111 -20.4205555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000001571" 1996 NA "Myrceugenia alpigena" "E.Nic Lughadha" -41.9 -13.28 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01387891" 2015 NA "Myrceugenia alpigena" "L. F. Gonçalves" -43.0747222222222 -22.4863888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "SPF" "SPF00218320" 2008 NA "Myrceugenia alpigena" "Pena, MA" -43.3302777777778 -19.1541666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CEPEC" "CEPEC00108250" 1988 NA "Myrceugenia alpigena" "M.Sobral" -41.9666666666667 -13.5166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01552459" 1997 NA "Myrceugenia alpigena" "M. L. Kawasaki" -43.84 -20.2113888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS166500" NA NA "Myrceugenia alpigena" "M.Sobral" -41.9436111111111 -13.5177777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615626" 1959 NA "Myrceugenia alpigena" "L. R. Landrum" -41.7983333333333 -20.4338888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS184012" NA NA "Myrceugenia alpigena" "J.E.Q.Faria" -43.5169444444444 -19.2330555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01034676" 2015 NA "Myrceugenia alpigena" "M.SOBRAL" -44.7272222222222 -22.3797222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS184039" NA NA "Myrceugenia alpigena" "J.E.Q.Faria" -43.5069444444444 -19.2175 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01057573" 2014 NA "Myrceugenia alpigena" "Sem determinador" -43.0311111111111 -22.4619444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00908337" 1984 NA "Myrceugenia alpigena" "G. M. Barroso" -44.6583333333333 -22.3844444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615628" 1902 NA "Myrceugenia alpigena" "L. R. Landrum" -44.6377777777778 -22.3741666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615627" 1887 NA "Myrceugenia alpigena" "Sem determinador" -43.0730555555556 -22.4966666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01318103" 2010 NA "Myrceugenia alpigena" "LDMEIRELES" -41.8533333333333 -20.4208333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "DVPR" "DVPR002034" 2013 NA "Myrceugenia alpigena" "Estevan, D.A." -53.0602777777778 -25.4130555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01339602" 2000 NA "Myrceugenia alpigena" "Sem determinador" -41.8166666666667 -20.4 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01303603" 2016 "2018-06-08" "Myrceugenia alpigena" "M.Sobral" -44.7361111111111 -22.3563888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS182281" NA NA "Myrceugenia alpigena" "Sem determinador" -41.9625 -13.5119444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01339560" 2000 NA "Myrceugenia alpigena" "LDMEIRELES" -41.8166666666667 -20.4166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00615634" 1998 NA "Myrceugenia alpigena" "M. L. Kawasaki" -41.8969444444444 -13.3888888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES035383" 2013 "2013-08-30" "Myrceugenia alpigena" "Tuler, A.C." -41.8683333333333 -20.4333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS182277" NA NA "Myrceugenia alpigena" "Sem determinador" -41.9038888888889 -13.5383333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
