"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB32928" 2007 "2008-04-01" "Myrceugenia bracteosa" "Sobral, M" -49.7708333333333 -26.55 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB02498" 2007 "2008-04-01" "Myrceugenia bracteosa" "Sobral, M" -49.9497222222222 -26.2772222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32927" 2007 "2008-04-01" "Myrceugenia bracteosa" "Sobral, M" -50.31 -26.73 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32930" 2007 "2008-04-01" "Myrceugenia bracteosa" "Sobral, M" -49.8583333333333 -26.4594444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32931" 2007 "2008-04-01" "Myrceugenia bracteosa" "Sobral, M" -49.68 -26.55 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32932" 2010 NA "Myrceugenia bracteosa" "Sobral, M" -49.0494444444444 -27.6302777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UNIP" "UNIP02287" 1993 NA "Myrceugenia bracteosa" "Kawasaki, M.L." -47.55 -22.5666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00908312" NA NA "Myrceugenia bracteosa" "L. R. Landrum" -43.7261111111111 -19.8330555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01307006" 2016 NA "Myrceugenia bracteosa" "J.E.Q. Faria" -44.7375 -22.3663888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615650" 1977 NA "Myrceugenia bracteosa" "Sem determinador" -45.5 -22.75 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00615651" 1966 NA "Myrceugenia bracteosa" "L. R. Landrum" -45.4805555555556 -22.6905555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615647" 1977 NA "Myrceugenia bracteosa" "L. R. Landrum" -44.67 -22.42 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00908311" 1982 NA "Myrceugenia bracteosa" "L. R. Landrum" -43.75 -19.92 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01306936" 2016 NA "Myrceugenia bracteosa" "LDMEIRELES" -44.7652777777778 -22.2922222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01389047" 2015 NA "Myrceugenia bracteosa" "L.F.Gonçalves" -43.0397222222222 -22.465 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
