"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"E" "E" "E00843191" 2017 NA "Myrceugenia chrysocarpa" "" -72.608333 -41.553611 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00840455" 2017 NA "Myrceugenia chrysocarpa" "" -73.056389 -37.81 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "3203912" 1993 NA "Myrceugenia chrysocarpa" "" -72.75 -46.41666 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "312707" 1986 NA "Myrceugenia chrysocarpa" "" -73.3 -40.23333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"F" "Botany" "V0105851F" NA NA "Myrceugenia chrysocarpa" "" -70.8906 -35.8156 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"G" "Geneva Herbarium – General Collection (G)" "G-G-215065/1" NA NA "Myrceugenia chrysocarpa" "" -71.37389 -37.8525 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00647136" 2013 NA "Myrceugenia chrysocarpa" "" -71.959167 -39.886111 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00166168" 2002 NA "Myrceugenia chrysocarpa" "" -71.700278 -39.0125 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00182457" 2004 NA "Myrceugenia chrysocarpa" "" -71.686944 -39.010556 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00022914" 1988 NA "Myrceugenia chrysocarpa" "" -72.433333 -40.183333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00096205" 1998 NA "Myrceugenia chrysocarpa" "" -73.661667 -40.446111 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00096212" 1998 NA "Myrceugenia chrysocarpa" "" -73.646944 -40.435278 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00096201" 1998 NA "Myrceugenia chrysocarpa" "" -71.695 -39.785 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00005866" NA NA "Myrceugenia chrysocarpa" "" -71.716667 -38.683333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00107044" 1988 NA "Myrceugenia chrysocarpa" "" -73.466667 -40.166667 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00078330" 1986 NA "Myrceugenia chrysocarpa" "" -72.5 -41.166667 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00096235" 1998 NA "Myrceugenia chrysocarpa" "" -72.625556 -42.293333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00078174" 1996 NA "Myrceugenia chrysocarpa" "" -71.697222 -38.639167 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00022883" 1986 NA "Myrceugenia chrysocarpa" "" -72.883333 -41.5 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00096178" 1999 NA "Myrceugenia chrysocarpa" "" -71.825833 -41.032778 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00182254" 2004 NA "Myrceugenia chrysocarpa" "" -71.605 -38.625278 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"traits" NA NA NA NA "Myrceugenia chrysocarpa" NA -73.421 -40.23 NA NA "BIEN" "6_no_criteria_met"
"traits" NA NA NA NA "Myrceugenia chrysocarpa" NA -72.58333 -41.53333 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia chrysocarpa" NA -71.4531 -36.9119 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia chrysocarpa" NA -71.2483 -38.8722 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia chrysocarpa" NA -71.3789 -40.0114 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia chrysocarpa" NA -71.0844 -36.8392 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia chrysocarpa" NA -71.5142 -41.2714 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia chrysocarpa" NA -71.7272 -40.775 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia chrysocarpa" NA -71.3628 -37.8994 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia chrysocarpa" NA -71.0797 -37.7689 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia chrysocarpa" NA -71.6139 -42.8233 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia chrysocarpa" NA -71.3164 -39.4092 NA NA "BIEN" "6_no_criteria_met"
