"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FLOR" "FLOR0062055" 2014 "2017-05-31" "Myrceugenia euosma" "Wagner, M.A." -49.6366666666667 -28.1611111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FLOR" "FLOR0062040" 2014 "2017-05-31" "Myrceugenia euosma" "Wagner, M.A." -49.6197222222222 -28.1438888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32899" 2015 "2015-01-13" "Myrceugenia euosma" "Oliveira, AA de" -49.4983333333333 -28.0827777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32904" 2007 "2008-04-01" "Myrceugenia euosma" "Sobral, M" -49.77 -26.19 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI005221" 2009 NA "Myrceugenia euosma" "M. Sobral" -51.1366666666667 -27.6908333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32917" 2013 "2014-08-20" "Myrceugenia euosma" "Brotto, ML" -49.3838888888889 -26.2755555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32898" 2008 NA "Myrceugenia euosma" "Sobral, M" -51.0286111111111 -27.7175 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32918" 2010 "2015-07-10" "Myrceugenia euosma" "Sobral, M" -49.4797222222222 -28.1272222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32916" 2013 "2014-08-20" "Myrceugenia euosma" "Brotto, ML" -49.2572222222222 -26.2483333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32914" 2009 NA "Myrceugenia euosma" "Sobral, M" -51.93 -27 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32913" 2012 NA "Myrceugenia euosma" "Molz, M" -51.3605555555556 -28.4708333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32915" 2013 "2013-03-05" "Myrceugenia euosma" "Grizzon, M" -50.4072222222222 -29.0933333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005215" 1994 NA "Myrceugenia euosma" "Marcos Sobral" -49.9502777777778 -29.1966666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32907" 2008 "2008-04-01" "Myrceugenia euosma" "Sobral, M" -50.6708333333333 -26.7302777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32912" 2012 "2013-01-15" "Myrceugenia euosma" "Grizzon, M" -50.9361111111111 -28.965 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
