"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FLOR" "FLOR0062172" 2013 NA "Myrceugenia glaucescens" "Cordeiro, J. ;  Felitto, G." -50.0963888888889 -28.4947222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FLOR" "FLOR0062255" 2013 NA "Myrceugenia glaucescens" "Cordeiro, J." -50.1113888888889 -28.4722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32896" 2015 "2015-03-03" "Myrceugenia glaucescens" "Oliveira, AA de" -51.4825 -26.8180555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32897" 2009 "2010-04-20" "Myrceugenia glaucescens" "Sobral, M" -49.0844444444444 -27.0555555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI005210" 2001 NA "Myrceugenia glaucescens" "Sem determinador" -49.9505555555556 -29.1972222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB48772" 2015 "2016-03-15" "Myrceugenia glaucescens" "Sobral, M." -50.0405555555556 -28.3483333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32892" 2011 "2011-03-22" "Myrceugenia glaucescens" "Oliveira, AA de" -49.86 -27.36 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB52183" 2016 "2016-11-14" "Myrceugenia glaucescens" "Schwirkowski, P." -49.3705555555556 -26.2783333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32893" 2013 "2013-03-19" "Myrceugenia glaucescens" "Grizzon, M" -50.9247222222222 -28.9536111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32895" 2012 "2013-02-18" "Myrceugenia glaucescens" "Grizzon, M" -50.9361111111111 -28.965 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB52579" 2016 "2017-02-06" "Myrceugenia glaucescens" "Farias, D.M." -50.04 -28.26 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB02503" 2007 "2008-04-01" "Myrceugenia glaucescens" "Sobral, M" -49.7708333333333 -26.55 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI005212" 1994 NA "Myrceugenia glaucescens" "Marcos Sobral" -49.9502777777778 -29.1966666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32894" 2014 NA "Myrceugenia glaucescens" "Oliveira, AA de" -49.68 -27.3597222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI005211" 1985 NA "Myrceugenia glaucescens" "Marcos Sobral" -49.625 -28.3375 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "SPF" "SPF00157545" 2002 NA "Myrceugenia glaucescens" "Tressens, SG" -54.2 -26.9 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00615742" 1977 NA "Myrceugenia glaucescens" "Sem determinador" -49.33 -25.5 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01384649" 2016 "2016-09-14" "Myrceugenia glaucescens" "Meireles, L & Maruyama, A." -45.0138888888889 -23.2291666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB50162" 2014 "2017-05-02" "Myrceugenia glaucescens" "M. Sobral" -48.9544444444444 -26.0391666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
