"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB02505" 2009 NA "Myrceugenia kleinii" "Sobral, M" -48.8711111111111 -26.8197222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00405355" NA NA "Myrceugenia kleinii" "Sem determinador" -48.6616666666667 -26.9080555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00615754" 1989 NA "Myrceugenia kleinii" "Sem determinador" -42.05 -22 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "G" "G00222639" 1955 "1980-01-01" "Myrceugenia kleinii" "Landrum, L. R." -51.16277778 -27.02861111 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "405355" 1955 NA "Myrceugenia kleinii" "" -48.6617 -26.9081 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "49010048" NA NA "Myrceugenia kleinii" "" -47.9249 -24.181 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "60020090" NA NA "Myrceugenia kleinii" "" -47.965302 -24.068001 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "ASU-PLANTS" "43314" 1992 NA "Myrceugenia kleinii" "M.L. Kawasaki, 1994." -47.55 -24.7167 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "FURB" "2505" 2009 NA "Myrceugenia kleinii" "Sobral, M" -48.8711111 -26.8197223 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "IAC" "53930" 2012 "2012-05-19" "Myrceugenia kleinii" "A.C.O. Souza et al." -45.109767 -23.360616 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
