"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB32889" 2012 NA "Myrceugenia mesomischa" "Verdi, M" -51.3441666666667 -28.4002777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB02506" 2008 "2010-01-25" "Myrceugenia mesomischa" "Sobral, M" -50.0405555555556 -28.3483333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB48741" 2015 "2015-10-08" "Myrceugenia mesomischa" "Oliveira, AA de" -51.9697222222222 -26.7886111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HDCF" "HDCF007274" 2013 "2016-04-20" "Myrceugenia mesomischa" "Figueira, M." -52.38 -28.44 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "VIES" "VIES013916" 1993 "2012-09-19" "Myrceugenia mesomischa" "Grizzon, M." -50.5836111111111 -29.4480555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00873055" 2012 NA "Myrceugenia mesomischa" "M. Verdi" -51.3333333333333 -28.4 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "IRAI" "7238" 1993 "2012-09-19" "Myrceugenia mesomischa" "Grizzon, M." -50.576389 -29.448056 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "FURB" "32889" 2012 NA "Myrceugenia mesomischa" "Verdi, M" -51.3441666 -28.4002778 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "FURB" "48741" 2015 "2015-10-08" "Myrceugenia mesomischa" "Oliveira, AA de" -51.9697223 -26.7886111 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"LEB" "BRASIL" "77375-1" NA NA "Myrceugenia mesomischa" "M.Sobral" -50.639999 -29.370001 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"ntt" NA NA NA NA "Myrceugenia mesomischa" NA -50.8164 -27.8358 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia mesomischa" NA -51.2922 -28.4694 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia mesomischa" NA -51.3983 -27.8383 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia mesomischa" NA -50.0383 -27.3614 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia mesomischa" NA -52.1239 -30.7083 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia mesomischa" NA -51.1044 -29.3814 NA NA "BIEN" "6_no_criteria_met"
