"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FLOR" "FLOR0062035" 2014 "2017-05-31" "Myrceugenia miersiana" "Wagner, M.A." -49.6408333333333 -28.1533333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FLOR" "FLOR0060945" 2007 NA "Myrceugenia miersiana" "Santos, M.F." -49.8613888888889 -27.8919444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32881" 2001 NA "Myrceugenia miersiana" "Cordeiro, J" -49.2091666666667 -27.1141666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32888" 2014 "2014-08-20" "Myrceugenia miersiana" "Brotto, ML" -49.3897222222222 -26.2961111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32886" 2014 "2014-09-23" "Myrceugenia miersiana" "Seubert, RC" -49.205 -27.1222222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01390795" 2016 NA "Myrceugenia miersiana" "L.F. Gonçalves" -43.0280555555556 -22.4597222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32879" 2008 "2008-04-01" "Myrceugenia miersiana" "Sobral, M" -50.6713888888889 -27.2691666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32880" 2008 "2008-04-01" "Myrceugenia miersiana" "Sobral, M" -50.5797222222222 -27.0908333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32872" 2009 NA "Myrceugenia miersiana" "Vieira, FCS" -49.3786111111111 -26.2505555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01389011" 2018 "2018-06-05" "Myrceugenia miersiana" "M. Sobral" -43.7327777777778 -22.3538888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32885" 2009 "2009-03-10" "Myrceugenia miersiana" "Ceolin, LM" -51.5930555555556 -26.3058333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32877" 2009 "2009-03-25" "Myrceugenia miersiana" "Stival-Santos, A" -51.4825 -26.8180555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32884" 2009 "2010-09-30" "Myrceugenia miersiana" "Gasper, AL de" -49.4105555555556 -27.3605555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32887" 2015 "2015-02-28" "Myrceugenia miersiana" "Oliveira, AA de" -52.0169444444444 -26.82 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB53391" 2017 "2017-05-19" "Myrceugenia miersiana" "Farias, D.M." -49.3388888888889 -26.6036111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32883" 2007 "2011-01-21" "Myrceugenia miersiana" "Oliveira, AA de" -49.0813888888889 -27.1166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI005208" 1991 NA "Myrceugenia miersiana" "Marcos Sobral" -49.5919444444444 -28.0155555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI005206" 1995 NA "Myrceugenia miersiana" "Marcos Sobral" -50.9216666666667 -27.0266666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32878" 2007 "2009-07-17" "Myrceugenia miersiana" "Sobral, M" -49.5894444444444 -26.5502777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32871" 2011 NA "Myrceugenia miersiana" "Sobral, M" -50.4 -27.18 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32876" 2008 "2008-03-13" "Myrceugenia miersiana" "Gasper, AL de" -50.9408333333333 -27.4497222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB02507" 2009 "2009-07-17" "Myrceugenia miersiana" "Sobral, M" -52.1088888888889 -26.5502777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00823242" 2003 NA "Myrceugenia miersiana" "M. L. Kawasaki" -39.47 -12.83 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000016828" 2010 NA "Myrceugenia miersiana" "J. Cordeiro  |  G. Felitto" -52.5605555555556 -25.0447222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00615774" 1982 NA "Myrceugenia miersiana" "Sem determinador" -42.9655555555556 -22.4122222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00907478" 2006 NA "Myrceugenia miersiana" "J. E. Q. de Faria" -39.55 -15.38 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615769" 1990 NA "Myrceugenia miersiana" "M. Sobral" -50.67 -25.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000016829" 2009 NA "Myrceugenia miersiana" "E. Barboza" -51.5677777777778 -25.0622222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HDCF" "HDCF00509" 1981 "1985-12-28" "Myrceugenia miersiana" "Sobral, M." -52.1844444444444 -28.3166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615759" 1977 NA "Myrceugenia miersiana" "L. R. Landrum" -50 -29 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000016826" 2014 "2014-07-28" "Myrceugenia miersiana" "M.L. Brotto" -48.9816666666667 -25.7747222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01552038" 2011 NA "Myrceugenia miersiana" "E. J. Lucas; A. C. Araújo" -50.5686111111111 -28.0552777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615758" 1977 NA "Myrceugenia miersiana" "L. R. Landrum" -50.25 -26.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "DVPR" "DVPR002110" 2014 "2014-08-04" "Myrceugenia miersiana" "Brotto, M.L." -49.0055555555556 -25.265 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00615778" 1978 NA "Myrceugenia miersiana" "L. R. Landrum" -49.2063888888889 -25.5347222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615763" 1977 NA "Myrceugenia miersiana" "L. R. Landrum" -50 -27.42 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615780" 1982 NA "Myrceugenia miersiana" "L. R. Landrum" -48.8341666666667 -25.4769444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000022298" 2014 "2014-08-04" "Myrceugenia miersiana" "M.L. Brotto" -49.0155555555556 -25.4475 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00615770" 1987 NA "Myrceugenia miersiana" "L. R. Landrum" -49.0766666666667 -25.3658333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01112828" 2009 NA "Myrceugenia miersiana" "Sem determinador" -50.5944444444444 -24.2861111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00615773" 1974 NA "Myrceugenia miersiana" "L. R. Landrum" -45.4544444444444 -22.6733333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615779" 1998 NA "Myrceugenia miersiana" "M. L. Kawasaki" -49.115 -25.2061111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01198008" 2006 NA "Myrceugenia miersiana" "L. R. Landrum" -39.3416666666667 -15.1736111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01112832" 2010 NA "Myrceugenia miersiana" "J.E.Q. Faria" -42.5022222222222 -22.4286111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01551165" 2001 NA "Myrceugenia miersiana" "Sem determinador" -44.7330555555556 -22.3580555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00615764" 1977 NA "Myrceugenia miersiana" "L. R. Landrum" -50.25 -29.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615767" 1958 NA "Myrceugenia miersiana" "C. M. D. E. Legrand" -49.3555555555556 -27.3919444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "DVPR" "DVPR002046" 2014 "2014-07-28" "Myrceugenia miersiana" "Brotto, M.L." -48.5516666666667 -25.5144444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00615762" 1977 NA "Myrceugenia miersiana" "Sem determinador" -49.17 -25.42 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00615771" 1930 NA "Myrceugenia miersiana" "B. K. Holst" -42.0294444444444 -20.7330555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615776" 1966 NA "Myrceugenia miersiana" "L. R. Landrum" -51.3155555555556 -26.4275 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HDCF" "HDCF006875" 2015 "2015-03-25" "Myrceugenia miersiana" "Figueira, M." -50.04 -28.98 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00615761" 1977 NA "Myrceugenia miersiana" "L. R. Landrum" -49 -25.67 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615765" 1959 NA "Myrceugenia miersiana" "L. R. Landrum" -49.6430555555556 -27.2144444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01196000" 2005 NA "Myrceugenia miersiana" "Sem determinador" -39.4080555555556 -15.2027777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00615772" 1987 NA "Myrceugenia miersiana" "S. F. Smith" -51.61 -28.7841666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01198714" 2007 NA "Myrceugenia miersiana" "M. Sobral" -39.6033333333333 -14.7058333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00749718" 2005 NA "Myrceugenia miersiana" "M. Sobral" -39.5652777777778 -15.3916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615768" 1990 NA "Myrceugenia miersiana" "M. Sobral" -49.22 -25.37 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "SPFW" "3477" 2008 NA "Myrceugenia miersiana" "Tomy Fisher" -48.977833 -26.448889 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "MOBOT_BR" "3268714" 2003 NA "Myrceugenia miersiana" "M.L. Kawasaki" -39.46666 -12.83333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00749718" 2005 NA "Myrceugenia miersiana" "M. Sobral" -39.5652778 -15.3916667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01196000" 2005 NA "Myrceugenia miersiana" "" -39.4081 -15.2028 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "NYBG_BR" "01198008" 2006 NA "Myrceugenia miersiana" "L. R. Landrum" -39.3417 -15.1736 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01198714" 2007 NA "Myrceugenia miersiana" "M. Sobral" -39.6033 -14.7058 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "1551165" 2001 NA "Myrceugenia miersiana" "" -44.733 -22.358 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "NYBG_BR" "615765" 1959 NA "Myrceugenia miersiana" "L. R. Landrum" -49.6431 -27.2144 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "615767" 1958 NA "Myrceugenia miersiana" "C. M. D. E. Legrand" -49.3556 -27.3919 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "615770" 1987 NA "Myrceugenia miersiana" "L. R. Landrum" -49.0767 -25.3658 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
