"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "HCF" "HCF000025366" 2011 "2011-03-22" "Myrceugenia myrcioides" "A.A. de Oliveira" -48.96 -26.6338888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEM" "HUEM000015375" 2014 "2014-11-19" "Myrceugenia myrcioides" "Barboza, E." -49.2030555555556 -25.4816666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEM" "HUEM000015376" 2014 "2014-11-19" "Myrceugenia myrcioides" "Brotto, M.L." -49.0377777777778 -25.5125 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FLOR" "FLOR0062030" 2014 "2017-05-31" "Myrceugenia myrcioides" "Wagner, M.A." -49.6408333333333 -28.1533333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FLOR" "FLOR0062039" 2014 "2017-05-31" "Myrceugenia myrcioides" "Wagner, M.A." -49.6352777777778 -28.1419444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32802" 2009 "2009-07-17" "Myrceugenia myrcioides" "Sobral, M" -49.6166666666667 -28.0461111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32851" 2012 "2015-07-10" "Myrceugenia myrcioides" "Sobral, M" -49.0488888888889 -26.9286111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI005204" 2010 "2010-03-23" "Myrceugenia myrcioides" "A. L. Gasper" -50.1291666666667 -26.9086111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32816" 2001 "2001-05-19" "Myrceugenia myrcioides" "Sobral, M" -49.2091666666667 -27.1141666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32865" 2010 "2010-10-25" "Myrceugenia myrcioides" "Sobral, M" -49.77 -26.8216666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32842" 2010 "2010-08-15" "Myrceugenia myrcioides" "Sobral, M" -49.9475 -26.5497222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32827" 1998 "2009-07-17" "Myrceugenia myrcioides" "Sobral, M" -49.0877777777778 -27.0566666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32844" 2010 "2010-08-15" "Myrceugenia myrcioides" "Sobral, M" -49.3205555555556 -27.9905555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32804" 2009 "2010-10-29" "Myrceugenia myrcioides" "Sobral, M" -49.4122222222222 -27.9922222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32869" 2013 "2015-07-10" "Myrceugenia myrcioides" "Sobral, M" -49.0866666666667 -27.0569444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32848" 2013 "2015-07-10" "Myrceugenia myrcioides" "Sobral, M" -49.0494444444444 -26.2008333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32864" 2015 "2015-01-15" "Myrceugenia myrcioides" "Oliveira, AA de" -49.4994444444444 -28.7108333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32825" 2007 "2009-07-17" "Myrceugenia myrcioides" "Sobral, M" -49.2547222222222 -27.1202777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32857" 2010 "2010-08-15" "Myrceugenia myrcioides" "Sobral, M" -49.0486111111111 -26.3694444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI005205" 2009 NA "Myrceugenia myrcioides" "M. Sobral" -49.4105555555556 -27.3605555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32829" 2009 "2010-01-25" "Myrceugenia myrcioides" "Sobral, M" -50.1322222222222 -27.275 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32840" 2010 "2010-08-15" "Myrceugenia myrcioides" "Sobral, M" -49.375 -28.01 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32863" 2014 "2014-08-12" "Myrceugenia myrcioides" "Seubert, RC" -49.1941666666667 -27.1002777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005202" 1992 NA "Myrceugenia myrcioides" "Vanilde Citadini- Zanette" -49.2988888888889 -28.2852777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32859" 2010 "2010-08-15" "Myrceugenia myrcioides" "Uller, HF" -49.5611111111111 -26.9497222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005201" 1989 NA "Myrceugenia myrcioides" "M. Sobral" -51.9066666666667 -27.4622222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32855" 2014 "2015-04-06" "Myrceugenia myrcioides" "Oliveira, AA de" -49.21 -27.1122222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32793" 2007 "2007-09-10" "Myrceugenia myrcioides" "Verdi, M; Stival-Santos, A" -49.0791666666667 -26.9222222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32836" 2010 "2010-08-15" "Myrceugenia myrcioides" "Sobral, M" -49.0494444444444 -27.6302777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32847" 2010 "2010-10-29" "Myrceugenia myrcioides" "Sobral, M" -48.9608333333333 -27.8097222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32789" 2009 NA "Myrceugenia myrcioides" "Oliveira, AA de" -49.3211111111111 -27.6313888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32858" 2011 NA "Myrceugenia myrcioides" "Verdi, M" -49.9261111111111 -29.3180555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
