"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"MO" "MO" "3206080" 1991 NA "Myrceugenia obtusa" "" -73.03333 -36.86666 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"F" "Botany" "V0106019F" NA NA "Myrceugenia obtusa" "" -70.8906 -35.8156 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MA" "MA" "775759-1" 2001 NA "Myrceugenia obtusa" "" -72.73 -36.4 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MA" "MA" "774501-1" 1999 NA "Myrceugenia obtusa" "" -71.47 -35.97 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00212670" 2004 NA "Myrceugenia obtusa" "" -71.456111 -32.699167 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00182241" 2004 NA "Myrceugenia obtusa" "" -70.946667 -34.189722 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00182240" 2004 NA "Myrceugenia obtusa" "" -72.025833 -34.45 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00096183" 1999 NA "Myrceugenia obtusa" "" -72.381944 -37.215278 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00198906" 2003 NA "Myrceugenia obtusa" "" -70.948611 -34.180556 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00163644" 2002 NA "Myrceugenia obtusa" "" -73.316111 -39.7 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00005885" 1993 NA "Myrceugenia obtusa" "" -71.333333 -35.783333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00212803" 2004 NA "Myrceugenia obtusa" "" -71.310833 -32.2325 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00005884" 1993 NA "Myrceugenia obtusa" "" -71.1 -32.883333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00131997" 2003 NA "Myrceugenia obtusa" "" -73.319167 -39.771111 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00113993" 1997 NA "Myrceugenia obtusa" "" -71.416667 -32.583333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MA" "MA" "777236-1" 2001 NA "Myrceugenia obtusa" "" -72.77 -36.27 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"ntt" NA NA NA NA "Myrceugenia obtusa" NA -72.9808 -36.8956 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia obtusa" NA -71.1097 -32.7647 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia obtusa" NA -70.8675 -34.7758 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia obtusa" NA -72.3336 -35.6717 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia obtusa" NA -71.3078 -30.7881 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia obtusa" NA -71.4603 -32.5306 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia obtusa" NA -72.6442 -38.5975 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia obtusa" NA -71.0219 -33.1728 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia obtusa" NA -70.9378 -34.1411 NA NA "BIEN" "6_no_criteria_met"
