"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FLOR" "FLOR0063767" 2010 "2010-10-29" "Myrceugenia pilotantha" "Sobral, M." -48.96 -27.54 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FLOR" "FLOR0062033" 2014 "2017-05-31" "Myrceugenia pilotantha" "Wagner, M.A." -49.6408333333333 -28.1533333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32748" 2014 "2015-07-10" "Myrceugenia pilotantha" "Sobral, M" -49.1969444444444 -27.1097222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32737" 2008 "2008-04-01" "Myrceugenia pilotantha" "Sobral, M" -49.2283333333333 -26.2780555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32743" 2015 "2015-04-05" "Myrceugenia pilotantha" "Funez, L.A." -49.3622222222222 -26.8625 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01390912" 2017 NA "Myrceugenia pilotantha" "L.F. Gonçalves" -42.9963888888889 -22.4561111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32745" 2015 "2015-01-03" "Myrceugenia pilotantha" "Oliveira, AA de" -49.4983333333333 -28.0827777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB02514" 2009 NA "Myrceugenia pilotantha" "Sobral, M" -49.4122222222222 -27.9922222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32740" 2001 "2009-07-17" "Myrceugenia pilotantha" "Sobral, M" -49.1327777777778 -27.025 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32742" 2009 "2015-07-10" "Myrceugenia pilotantha" "Sobral, M" -49.7744444444444 -26.9252777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
