"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"E" "E" "E00719076" 2015 NA "Myrceugenia rufa" "" -71.456389 -32.698611 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "3204657" 1988 NA "Myrceugenia rufa" "" -71.67 -33.33 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"F" "Botany" "V0106112F" NA NA "Myrceugenia rufa" "" -70.8906 -35.8156 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"BPBM" "BISH" "733895" 2000 NA "Myrceugenia rufa" "" -71.6488 -33.314 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00212805" 2004 NA "Myrceugenia rufa" "" -71.538056 -33.071111 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00212804" 2004 NA "Myrceugenia rufa" "" -71.558889 -33.058056 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00212672" 2004 NA "Myrceugenia rufa" "" -71.3 -32.216667 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00212674" 2004 NA "Myrceugenia rufa" "" -71.310833 -32.2325 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00212470" 2004 NA "Myrceugenia rufa" "" -71.456111 -32.699167 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00282651" 2009 NA "Myrceugenia rufa" "" -71.418889 -32.592778 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"chilesp" "Fauna Australis" NA 1999 NA "Myrceugenia rufa" NA -71.1 -35.85 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"traits" NA NA NA NA "Myrceugenia rufa" NA -71.49111 -33.08361 NA NA "BIEN" "6_no_criteria_met"
