"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB32733" 2008 NA "Myrceugenia rufescens" "Vieira, FCS" -48.9669444444444 -26.0216666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00615923" 1973 NA "Myrceugenia rufescens" "L. R. Landrum" -50.0116666666667 -24.7911111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0036468" 2008 NA "Myrceugenia rufescens" "Sem determinador" -48.9497222222222 -26.0391666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00615921" 1944 NA "Myrceugenia rufescens" "Sem determinador" -46.6219444444444 -23.6544444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00615924" 1931 NA "Myrceugenia rufescens" "J. Mattos" -46.6183333333333 -23.6461111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615922" 1980 NA "Myrceugenia rufescens" "L. R. Landrum" -49.6355555555556 -25.5841666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00873108" 2012 "2014-09-10" "Myrceugenia rufescens" "L.D. Meireles" -44.7833333333333 -22.3 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "CNMT" "6211" 2008 "2010-01-01" "Myrceugenia rufescens" "Vieira, F.C.S." -48.938333 -26.071697 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "NYBG_BR" "615921" 1944 NA "Myrceugenia rufescens" "" -46.621883 -23.654505 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "NYBG_BR" "615922" 1980 NA "Myrceugenia rufescens" "L. R. Landrum" -49.6356 -25.5842 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "615923" 1973 NA "Myrceugenia rufescens" "L. R. Landrum" -50.0117 -24.7911 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "615924" 1931 NA "Myrceugenia rufescens" "J. Mattos" -46.618358 -23.646109 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SINBIOTA" "84210022" NA NA "Myrceugenia rufescens" "" -47.076 -23.692801 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "84220018" NA NA "Myrceugenia rufescens" "" -47.064499 -23.744101 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "84230049" NA NA "Myrceugenia rufescens" "" -47.072899 -23.7155 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "84240012" NA NA "Myrceugenia rufescens" "" -47.055302 -23.75 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "84260022" NA NA "Myrceugenia rufescens" "" -47.058102 -23.7348 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "84270020" NA NA "Myrceugenia rufescens" "" -47.072201 -23.724501 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "84290010" NA NA "Myrceugenia rufescens" "" -47.062401 -23.738001 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "84300018" NA NA "Myrceugenia rufescens" "" -47.0877 -23.715 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "84310021" NA NA "Myrceugenia rufescens" "" -46.9589 -23.675501 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "84320029" NA NA "Myrceugenia rufescens" "" -46.956799 -23.695801 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "84330028" NA NA "Myrceugenia rufescens" "" -46.9454 -23.714899 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "84340021" NA NA "Myrceugenia rufescens" "" -47.063 -23.7251 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "84350026" NA NA "Myrceugenia rufescens" "" -47.100899 -23.710199 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "84360028" NA NA "Myrceugenia rufescens" "" -47.092499 -23.714899 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "84380018" NA NA "Myrceugenia rufescens" "" -47.072102 -23.7083 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "84480042" NA NA "Myrceugenia rufescens" "" -47.1147 -23.7281 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "ASU-PLANTS" "18742" 2006 NA "Myrceugenia rufescens" "" -44.77278 -22.93472 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "ASU-PLANTS" "43457" 1945 NA "Myrceugenia rufescens" "L. R. Landrum" -46.740323 -23.364522 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "43458" 1961 NA "Myrceugenia rufescens" "L. R. Landrum" -49.1333 -25.1833 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "60670" 1996 NA "Myrceugenia rufescens" "L.H. Soares e Silva, 1999." -50.4 -24.5 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUCS" "41869" 2008 NA "Myrceugenia rufescens" "Vieira, F C S" -48.966944 -26.025556 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "UB" "199117" 2012 NA "Myrceugenia rufescens" "Meireles, LD" -44.784444 -22.301111 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "HEPH" "32368" 2016 "2016-09-07" "Myrceugenia rufescens" "Meireles, L; Maruyama, A" -45.013889 -23.229167 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "EFC" "13662" 2014 "2016-06-06" "Myrceugenia rufescens" "Ribeiro, C.L." -48.8361 -25.2582 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "FURB" "32733" 2008 NA "Myrceugenia rufescens" "Vieira, FCS" -48.9669445 -26.0216667 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "FUEL" "13894" 1983 NA "Myrceugenia rufescens" "Semir, J" -46.564722 -21.838889 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "SPSF" "50876" 2014 "2014-01-14" "Myrceugenia rufescens" "N.M. Ivanauskas" -45.266389 -22.525278 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "SPSF" "52027" 2015 "2016-06-10" "Myrceugenia rufescens" "A.Maruyama" -45.453056 -22.6825 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "SPSF" "52064" 2015 "2015-11-20" "Myrceugenia rufescens" "N.M.Ivanauskas" -45.302778 -22.592222 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "IAC" "40375" 2001 "2001-04-26" "Myrceugenia rufescens" "L.C. Bernacci & G. Durigan" -47.072134 -23.708332 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "IAC" "41027" 2001 "2001-01-11" "Myrceugenia rufescens" "L.C. Bernacci & G.F. Árbocz" -47.072921 -23.715509 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "SPF" "199695" 2007 NA "Myrceugenia rufescens" "Anônimo" -48.931055 -26.061654 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"JABOT" "RB" "551027" 2011 "2014-09-10" "Myrceugenia rufescens" "L.D. Meireles" -44.1155555555556 -21.0697222222222 "PRESERVED_SPECIMEN" NA "JABOT" "2_taxonomist"
"JABOT" "RB" "577221" 2006 "2014-09-11" "Myrceugenia rufescens" "L.D. Meireles" -44.7727777777778 -22.9347222222222 "PRESERVED_SPECIMEN" NA "JABOT" "2_taxonomist"
"JABOT" "RB" "360242" 2001 NA "Myrceugenia rufescens" "M.Sobral" -44.7075 -22.2897222222222 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"F" "Botany" "V0349049F" 1944 NA "Myrceugenia rufescens" "RRC ID Flag" -49 -22 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"S" "VascularPlants" "S13-15303" 1983 NA "Myrceugenia rufescens" "" -46.56 -21.84 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"ntt" NA NA NA NA "Myrceugenia rufescens" NA -46.9711 -23.7722 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia rufescens" NA -49.8794 -24.8017 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia rufescens" NA -47.5306 -23.6497 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia rufescens" NA -45.3231 -21.9336 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia rufescens" NA -46.7286 -23.5658 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrceugenia rufescens" NA -46.1392 -23.4708 NA NA "BIEN" "6_no_criteria_met"
