"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "HUEM" "HUEM000015377" 2014 "2014-08-04" "Myrceugenia seriatoramosa" "Brotto, M.L." -49.0155555555556 -25.4475 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FLOR" "FLOR0064408" 2007 NA "Myrceugenia seriatoramosa" "Santos, E.P." -49.05 -25.75 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB55726" 2017 "2017-07-29" "Myrceugenia seriatoramosa" "Molz, M" -49.3888888888889 -26.2938888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32732" 2015 "2015-02-08" "Myrceugenia seriatoramosa" "Oliveira, AA de" -49.0519444444444 -27.2686111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32728" 2010 NA "Myrceugenia seriatoramosa" "Sobral, M" -49.0497222222222 -26.1002777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32730" 2009 "2010-01-25" "Myrceugenia seriatoramosa" "Sobral, M" -48.8719444444444 -27.8983333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32731" 2009 "2009-05-20" "Myrceugenia seriatoramosa" "Vieira, FCS" -48.9486111111111 -26.0605555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HCF" "HCF000016853" 2012 NA "Myrceugenia seriatoramosa" "J. Cordeiro" -47.8363888888889 -24.8877777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY02330127" 2003 NA "Myrceugenia seriatoramosa" "Sem determinador" -44.6122222222222 -22.4477777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0036470" 2009 NA "Myrceugenia seriatoramosa" "Vieira, FCS" -48.9391666666667 -26.0675 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01389145" 2016 NA "Myrceugenia seriatoramosa" "L. F. Gonçalves" -43.0408333333333 -22.465 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "DVPR" "DVPR002111" 2014 "2014-08-04" "Myrceugenia seriatoramosa" "Brotto, M.L." -49.0055555555556 -25.265 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
