"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "MAC" "MAC0058454" 2015 NA "Myrcia amazonica" "M.Sobral" -36.7863888888889 -9.54138888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0029709" 2006 NA "Myrcia amazonica" "M.Sobral" -40.5233333333333 -11.4522222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32711" 2009 "2010-01-25" "Myrcia amazonica" "Sobral, M" -48.6 -26.28 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32715" 2015 "2015-03-27" "Myrcia amazonica" "Oliveira, AA de" -49.41 -26.3697222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32714" 2009 "2010-01-25" "Myrcia amazonica" "Sobral, M" -49.3222222222222 -27.8116666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB02520" 2006 "2009-07-17" "Myrcia amazonica" "Sobral, M" -49.2388888888889 -25.4419444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32713" 2010 "2011-03-08" "Myrcia amazonica" "Sobral, M" -50.1322222222222 -27.275 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000332160" 1965 "2017-10-13" "Myrcia amazonica" "Souza, M.C." -43.22 -22.92 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331729" 1981 NA "Myrcia amazonica" "Nic Lughadha, E." -47.22 -19.87 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616235" 1981 NA "Myrcia amazonica" "B. K. Holst" -49.1988888888889 -25.9283333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000342576" 1983 NA "Myrcia amazonica" "Holst, B.K." -51.75 -0.83 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343615" 1998 NA "Myrcia amazonica" "Nic Lughadha, E." -40.53 -19.97 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000001547" 1993 NA "Myrcia amazonica" "E.Nic Lughadha" -41.88 -13.28 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01039431" 2005 NA "Myrcia amazonica" "M. Sobral" -43.3908333333333 -18.0041666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000332096" 1993 NA "Myrcia amazonica" "Nic Lughadha, E.; Lucas, E." -41.87 -13.3 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS163161" NA NA "Myrcia amazonica" "Sem determinador" -41.5147222222222 -12.4672222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616230" 1955 NA "Myrcia amazonica" "B. K. Holst" -48.6616666666667 -26.9080555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331709" 1987 NA "Myrcia amazonica" "Kawasaki, M.L." -68.67 -0.3 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000342804" 1987 NA "Myrcia amazonica" "Sem determinador" -43.72 -20.35 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01460266" 1977 NA "Myrcia amazonica" "B. K. Holst" -60.1022222222222 -2.9975 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01019265" 2002 NA "Myrcia amazonica" "M. Sobral" -40.4152777777778 -13.4863888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616239" 1968 NA "Myrcia amazonica" "B. K. Holst" -48.8341666666667 -25.4769444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000001543" 1992 NA "Myrcia amazonica" "E.Nic Lughadha" -41.85 -13.28 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616232" 1954 NA "Myrcia amazonica" "B. K. Holst" -49.0827777777778 -26.9261111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ESA" "ESA093852" NA NA "Myrcia amazonica" "Sobral, M." -59.12 -10.17 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000001515" 1995 NA "Myrcia amazonica" "E.Nic Lughadha" -41.43 -12.45 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS190294" NA NA "Myrcia amazonica" "A.Stadnik" -40.4180555555556 -13.4238888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01552358" 1978 NA "Myrcia amazonica" "M. F. Santos" -59.42 -15.33 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000342562" NA NA "Myrcia amazonica" "Sem determinador" -60.67 2.82 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616234" 1982 NA "Myrcia amazonica" "B. K. Holst" -49.0630555555556 -25.4419444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS158845" NA NA "Myrcia amazonica" "M.Sobral" -41.3 -12.8833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000578686" 2006 NA "Myrcia amazonica" "Lucas, E." -55.95 -9.63 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01460259" 1980 NA "Myrcia amazonica" "B. K. Holst" -49.6725 -3.76611111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
