"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY02422941" 2013 NA "Myrcia amethystina" "Sem determinador" -48.3005555555556 -18.9863888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY02422946" 2013 NA "Myrcia amethystina" "Sem determinador" -48.3936111111111 -8.18222222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000342602" NA NA "Myrcia amethystina" "Nic Lughadha, E." -43.53 -17.42 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01331175" 2013 NA "Myrcia amethystina" "D.F. Lima" -44.3222222222222 -21.0430555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000342603" 1827 NA "Myrcia amethystina" "Sem determinador" -48.32 -17.43 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000342604" NA NA "Myrcia amethystina" "Sem determinador" -43.5 -20.37 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01331176" 2013 NA "Myrcia amethystina" "D.F. Lima" -44.0588888888889 -20.8369444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UPCB" "UPCB0024768" 2013 NA "Myrcia amethystina" "Lima, D.F." -48.3938888888889 -18.1819444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UPCB" "UPCB0024881" 2013 NA "Myrcia amethystina" "Lima, D.F." -44.3219444444444 -21.0430555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UPCB" "UPCB0024770" 2013 NA "Myrcia amethystina" "Lima, D.F." -48.3011111111111 -18.9861111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "UPCB" "81036" 2013 NA "Myrcia amethystina" "Lima, D.F." -48.301 -18.986 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UPCB" "81042" 2013 NA "Myrcia amethystina" "Lima, D.F." -44.059 -20.837 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UPCB" "81111" 2013 NA "Myrcia amethystina" "Lima, D.F." -44.322 -21.043 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"NY" "NY" "2422946" 2013 NA "Myrcia amethystina" "" -48.3936 -8.1822 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"UFPR" "UPCB" "81040" 2013 NA "Myrcia amethystina" "Lima, D.F." -48.394 -18.182 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
