"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB01361587" 1993 "1993-05-22" "Myrcia amplexicaulis" "G.M. Barroso" -42.0333333333333 -20.7666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUENF" "HUENF00010912" 2011 NA "Myrcia amplexicaulis" "Sem determinador" -41.4480555555556 -21.7972222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUENF" "HUENF00001818" 1997 "2017-11-29" "Myrcia amplexicaulis" "Souza, M.C." -41.7969444444444 -21.8469444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343715" 1988 NA "Myrcia amplexicaulis" "Nic Lughadha, E." -40.6 -19.92 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331863" 1999 NA "Myrcia amplexicaulis" "Sem determinador" -40.53 -19.95 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000343316" 1995 NA "Myrcia amplexicaulis" "Barroso, G.M." -40.53 -19.97 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES038356" 2012 NA "Myrcia amplexicaulis" "A. Giaretta" -39.8141666666667 -18.2761111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES025097" 2009 "2012-03-05" "Myrcia amplexicaulis" "Ribeiro, M." -39.7322222222222 -18.5933333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000343716" 1986 NA "Myrcia amplexicaulis" "Sobral, M." -41 -20.67 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01183863" 2005 NA "Myrcia amplexicaulis" "Sem determinador" -42.3477777777778 -22.5308333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00907979" 1983 NA "Myrcia amplexicaulis" "Sem determinador" -41.83 -19.67 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00594986" 1991 NA "Myrcia amplexicaulis" "Sem determinador" -39.0616666666667 -14.4230555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00687696" 1979 NA "Myrcia amplexicaulis" "Sem determinador" -39.2072222222222 -16.095 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01017270" 1982 NA "Myrcia amplexicaulis" "Sem determinador" -38.9966666666667 -14.2777777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000343717" 1998 NA "Myrcia amplexicaulis" "Nic Lughadha, E." -40.45 -19.88 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES018025" 1999 NA "Myrcia amplexicaulis" "Giaretta, A.O." -40.2811111111111 -20.1661111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "G" "G00223350" NA NA "Myrcia amplexicaulis" "?" -42.9125 -22.48222222 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "CEPEC" "122725" NA NA "Myrcia amplexicaulis" "" -39.115 -14.499722 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "CEPEC" "123565" 2007 NA "Myrcia amplexicaulis" "" -39.083333 -14.416667 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "CEPEC" "60244" NA NA "Myrcia amplexicaulis" "B. S. Amorim" -39.25 -17.25 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00907979" 1983 NA "Myrcia amplexicaulis" "E. M. Nic Lughadha" -41.83 -19.67 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "1017270" 1982 NA "Myrcia amplexicaulis" "L. V. S. Jennings" -38.9967 -14.2778 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "NYBG_BR" "1183863" 2005 NA "Myrcia amplexicaulis" "" -42.3478 -22.5308 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "NYBG_BR" "594986" 1991 NA "Myrcia amplexicaulis" "M. Sobral" -39.0617 -14.4231 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "BHCB" "87033" 2004 NA "Myrcia amplexicaulis" "" -41.993806 -17.645 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "UB" "191578" 2012 NA "Myrcia amplexicaulis" "Sobral, M" -42.639444 -19.698611 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HURB" "5975" 2013 NA "Myrcia amplexicaulis" "" -39.476667 -13.919444 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "HURB" "7777" 2013 NA "Myrcia amplexicaulis" "" -39.718333 -13.589444 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "HUFSJ" "3169" 2011 NA "Myrcia amplexicaulis" "" -42.528333 -19.416667 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "UFP" "76944" 2014 "2014-03-01" "Myrcia amplexicaulis" "Amorim, B.S." -40.5277777778 -19.9722222222 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UFP" "76945" 2014 "2014-03-01" "Myrcia amplexicaulis" "Amorim, B.S." -40.5388888889 -19.9638888889 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UFP" "79014" 2014 NA "Myrcia amplexicaulis" "" -39.0219444444 -14.3497222222 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "MBML-HERBARIO" "10407" 1999 NA "Myrcia amplexicaulis" "M. Sobral/2001" -40.530278 -19.971389 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "26376" 2006 NA "Myrcia amplexicaulis" "L. Jerrings/29-II-2006" -40.470639 -20.058611 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "MBML-HERBARIO" "30110" 2006 "2006-08-10" "Myrcia amplexicaulis" "M. C. Souza/10-08-2006" -40.546389 -20.123056 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "14697" 2000 NA "Myrcia amplexicaulis" "M. Sobral/Dez.2002" -40.593889 -19.973333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "15944" 2002 NA "Myrcia amplexicaulis" "B.S. Amorim/Set.2014" -40.553056 -19.9075 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "20215" 2003 NA "Myrcia amplexicaulis" "M. Sobral/2003" -40.676944 -20.096389 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "8298" 1999 NA "Myrcia amplexicaulis" "M. Sobral/Dez.2002" -40.645833 -19.981944 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "10780" 1995 NA "Myrcia amplexicaulis" "M. Sobral/2003" -40.530278 -19.971389 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "14621" 2001 NA "Myrcia amplexicaulis" "M. Sobral/2002" -40.529444 -20.100556 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "28879" 2006 NA "Myrcia amplexicaulis" "M. Sobral/Março-2007" -40.497222 -20.028889 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "36070" 2008 NA "Myrcia amplexicaulis" "B.S.Amorim/III-2014" -41.532778 -20.763611 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "36361" 2008 NA "Myrcia amplexicaulis" "B.S.Amorim/III-2014" -40.525 -20.267778 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "46781" 2012 NA "Myrcia amplexicaulis" "A. Giaretta/20-09-2017" -39.802369 -18.282278 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "46803" 2012 NA "Myrcia amplexicaulis" "B.S.Amorim/III-2014" -39.802369 -18.268228 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPF" "141338" 1999 NA "Myrcia amplexicaulis" "Anônimo" -40.543611 -19.956667 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "SPF" "151901" 2001 NA "Myrcia amplexicaulis" "Sobral, M" -40.516667 -20.283333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"JABOT" "RB" "373903" 1999 NA "Myrcia amplexicaulis" "" -40.5436111111111 -19.9566666666667 "PRESERVED_SPECIMEN" NA "JABOT" "4_sci_colection"
"JABOT" "RB" "466059" 2006 "2006-05-15" "Myrcia amplexicaulis" "M. C. Souza" -42.3461111111111 -22.5322222222222 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "377615" 1999 "2003-01-08" "Myrcia amplexicaulis" "M.C.Souza e G.M.Barroso" -40.0208333333333 -19.155 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "571257" NA NA "Myrcia amplexicaulis" "Marcelo Sousa" -42.9094444444444 -22.5369444444444 "PRESERVED_SPECIMEN" NA "JABOT" "2_taxonomist"
"JABOT" "RB" "572517" 2012 NA "Myrcia amplexicaulis" "R. Finotti" -43.0002777777778 -22.7716666666667 "PRESERVED_SPECIMEN" NA "JABOT" "2_taxonomist"
"JABOT" "RB" "497657" 2005 NA "Myrcia amplexicaulis" "" -42.3477777777778 -22.5308333333333 "PRESERVED_SPECIMEN" NA "JABOT" "4_sci_colection"
"JABOT" "RB" "477237" 2007 NA "Myrcia amplexicaulis" "C.N. Fraga" -41.2727777777778 -21.7216666666667 "PRESERVED_SPECIMEN" NA "JABOT" "2_taxonomist"
