"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "SPF" "SPF00214478" 2012 NA "Myrcia bicarinata" "Santos, MF" -47.09 -22.17 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000342628" 1972 NA "Myrcia bicarinata" "Silveira, N" -48.32 -25.28 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00907619" 1964 NA "Myrcia bicarinata" "M. F. Santos" -47.85 -15.68 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331820" 2003 NA "Myrcia bicarinata" "Sem determinador" -47.97 -25.13 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01891844" 1982 NA "Myrcia bicarinata" "Sem determinador" -47.85 -15.8744444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "SINBIOTA" "78430028" NA NA "Myrcia bicarinata" "" -47.9315 -25.0749 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "BHCB" "102300" 2000 NA "Myrcia bicarinata" "" -48 -15.883333 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "BHCB" "161468" 2012 "2012-10-28" "Myrcia bicarinata" "" -47.929722 -25.096389 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "MBML-HERBARIO" "22189" 2003 NA "Myrcia bicarinata" "M.F. Santos/XI-2011" -40.620278 -19.923889 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPSF" "36268" 2005 NA "Myrcia bicarinata" "" -48.064444 -25.0025 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "US" "3263238" 1982 NA "Myrcia bicarinata" "" -47.85 -15.8744 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SP" "338779" 1997 NA "Myrcia bicarinata" "Santos, MF" -48.333333 -23.497222 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPF" "214478" 2012 NA "Myrcia bicarinata" "Santos, MF" -47.15 -22.283333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"JABOT" "RB" "484949" 2006 "2011-09-21" "Myrcia bicarinata" "M.F.Santos" -47.9208333333333 -25.0744444444444 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
