"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"SPLINK" "FPR-COLOMBIA" "69097" NA NA "Myrcia bolivarensis" "" -65.8166666666667 1.53333333333333 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"US" "Botany" "3553603" 2003 NA "Myrcia bolivarensis" "Holst, Bruce K." -59.813 5.11589 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3538172" 2001 NA "Myrcia bolivarensis" "Holst, Bruce K." -59.9725 5.37694 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3208453" 1987 NA "Myrcia bolivarensis" "Holst, Bruce K." -59.95 5.45 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "2541027" 1949 NA "Myrcia bolivarensis" "McVaugh, R." -67.4 4.95 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3401632" 1997 NA "Myrcia bolivarensis" "Holst, Bruce K." -61.2 5.8325 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3268875" 1989 NA "Myrcia bolivarensis" "Holst, Bruce K." -60.7333 5.28333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "2548645" 1960 NA "Myrcia bolivarensis" "McVaugh, R." -59.95 5.41 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3400504" 1997 NA "Myrcia bolivarensis" "Holst, Bruce K." -61.1944 5.825 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3107253" 1986 NA "Myrcia bolivarensis" "Holst, Bruce K." -65.86 5.71 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "2548715" 1953 NA "Myrcia bolivarensis" "McVaugh, R." -66.13 5.75 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "2144572" 1944 NA "Myrcia bolivarensis" "" -61.8001 5.76442 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "3207023" 1986 NA "Myrcia bolivarensis" "B.K.Hoslt" -65.86666 5.71666 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3206883" 1989 NA "Myrcia bolivarensis" "B.K. Holst" -60.58333 5.25 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3206015" 1987 NA "Myrcia bolivarensis" "B.K. Holst" -65.81666 1.53333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3206139" 1985 NA "Myrcia bolivarensis" "B.K. Holst" -65.96944 0.84583 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3205793" 1989 NA "Myrcia bolivarensis" "B.K.Holst" -66.9 4.9 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3205566" 1992 NA "Myrcia bolivarensis" "B.K. Holst" -59.96666 5.38333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "312428" 1984 NA "Myrcia bolivarensis" "B.K. Holst" -66 0.91666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311959" 1988 NA "Myrcia bolivarensis" "B.K. Holst" -65.5 3.71666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "310281" 1984 NA "Myrcia bolivarensis" "B.K. Holst" -65.95 0.85 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"K" "Herbarium" "K000330019" 1986 NA "Myrcia bolivarensis" "Holst, B.K." -65.87 5.72 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
