"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "K" "K000342669" 1967 NA "Myrcia calycampa" "Holst, B.K." -61.73 -0.97 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00911195" 2014 NA "Myrcia calycampa" "M.SOBRAL" -60.7833333333333 2.53333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01460327" 1984 NA "Myrcia calycampa" "B. K. Holst" -62.8 1.53333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "P" "P00546761" 1995 NA "Myrcia calycampa" "Holst" -59.3 3.75 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01460328" 1967 NA "Myrcia calycampa" "B. K. Holst" -61.1158333333333 2.645 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000342665" NA NA "Myrcia calycampa" "Sem determinador" -58.28 6 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000342670" 1984 NA "Myrcia calycampa" "Holst, B.K." -62.8 1.53 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01114261" 2014 NA "Myrcia calycampa" "M.SOBRAL" -60.7861111111111 2.54805555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01460326" 1978 NA "Myrcia calycampa" "B. K. Holst" -48.1522222222222 -2.41888888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000342663" NA NA "Myrcia calycampa" "Sem determinador" -60.67 2.82 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000342671" 1980 NA "Myrcia calycampa" "Holst, B.K." -57.03 -1.08 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343964" 1987 NA "Myrcia calycampa" "Holst, B.K." -56 -0.33 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343962" 1984 NA "Myrcia calycampa" "Holst, B.K." -61.8 1.53 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
