"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "K" "K000262071" 1979 NA "Myrcia capitata" "Proen  a, C.E" -47.27 -14.13 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS082584" NA NA "Myrcia capitata" "Sem determinador" -47.8155555555556 -15.8183333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "MOBOT_BR" "3203588" NA NA "Myrcia capitata" "R. Liesner" -47.5913889 -15.5905555 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "INPA" "204600" 1996 NA "Myrcia capitata" "Proença, CEB" -47.883333 -15.583333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "215112" 2000 NA "Myrcia capitata" "Proença, CEB" -48.05 -16.05 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEN" "24065" NA NA "Myrcia capitata" "P. O. Rosa" -47.53333 -15.98333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEN" "44063" NA NA "Myrcia capitata" "J. E. Q. Faria Junior & M. Ibrahim" -47.815555 -15.818333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEN" "74747" NA NA "Myrcia capitata" "P. O. Rosa" -47.897222 -15.686666 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEN" "75487" NA NA "Myrcia capitata" "J. E. Q. Faria Júnior" -47.97 -15.522222 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEN" "75641" NA NA "Myrcia capitata" "" -47.978611 -15.536111 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "FMM" "1275" 2010 NA "Myrcia capitata" "Leidiana Lima do Santos" -47.807511 -15.797781 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "101902" NA NA "Myrcia capitata" "Junqueira, DI" -47.466667 -15.839167 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "UB" "10629" 1998 NA "Myrcia capitata" "Proença, CEB" -47.666667 -15.616667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "179190" 1964 "2012-05-12" "Myrcia capitata" "Bezerra, KMG" -48.05 -16.033333 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "UB" "191810" 2012 NA "Myrcia capitata" "Faria, JEQ" -48.046944 -15.581944 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "332600" 1991 NA "Myrcia capitata" "Sobral, M" -47.533333 -15.983333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"UEFS" "HUEFS" "82584" 2001 NA "Myrcia capitata" "J.E.Q.Faria Júnior & M.Ibrahim" -47.815556 -15.818333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
