"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY01146211" 2009 NA "Myrcia cerqueiria" "G. Siqueira" -40 -19.09 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00887376" 1972 NA "Myrcia cerqueiria" "Sem determinador" -39.9611111111111 -19.1383333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01015080" 1979 NA "Myrcia cerqueiria" "Sem determinador" -39.0644444444444 -16.4497222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000332452" 1993 NA "Myrcia cerqueiria" "Sem determinador" -40.03 -19.2 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000331891" 1999 NA "Myrcia cerqueiria" "Sem determinador" -39.9 -19.18 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY02578962" 2011 NA "Myrcia cerqueiria" "B. S. Amorim" -39.9483333333333 -19.035 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01338384" 2017 "2017-03-29" "Myrcia cerqueiria" "G.S. Siqueira" -40.02 -19.1522222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS097667" NA NA "Myrcia cerqueiria" "B.S.Amorim" -39.3936111111111 -17.1588888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES019424" 2010 NA "Myrcia cerqueiria" "Giaretta, A.O." -40.0711111111111 -19.3213888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS106902" NA NA "Myrcia cerqueiria" "B.S.Amorim" -38.9980555555556 -14.2588888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
