"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY01460504" NA NA "Myrcia coumete" "R. McVaugh" -52.0175 -0.881111111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01460504" 1954 NA "Myrcia coumete" "R. McVaugh" -52.0174098 0.8811031 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"MO" "MO" "1438700" 1987 NA "Myrcia coumete" "M.L. Kawasaki" -76.5 7.33333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2983872" 1998 NA "Myrcia coumete" "B.K. Holst & M.L. Kawasaki (F)" -84.370833 9.693056 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"Universidad de Antioquia" "HUA" "139163" 2001 NA "Myrcia coumete" "Misas I." -73.979371 10.964676 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Universidad de Antioquia" "HUA" "51153" 1987 NA "Myrcia coumete" "Kawasaki M." -76.5 7.333333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3493078" 1998 NA "Myrcia coumete" "Holst, Bruce K." -54.25 3.22 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "2640897" 1963 NA "Myrcia coumete" "McVaugh, R." -55.45 3.33 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1835561" 1982 NA "Myrcia coumete" "R. Liesner" -79.541667 9.558333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1287871" 1998 NA "Myrcia coumete" "B.K. Holst (SEL)" -54.25861 3.22138 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"K" "Herbarium" "K000342787" NA NA "Myrcia coumete" "Amshoff, J.H." -56.1 5.17 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"K" "Herbarium" "K000342723" 1949 NA "Myrcia coumete" "Amshoff, J.H." -54.33 5.5 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"ntt" NA NA NA NA "Myrcia coumete" NA -54.5331 4.9133 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia coumete" NA -51.9453 2.7586 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia coumete" NA -51.9756 1.9397 NA NA "BIEN" "6_no_criteria_met"
"U" "U" NA 1961 NA "Myrcia coumete" NA -53.66666667 3 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"MO" "MO" NA 1998 NA "Myrcia coumete" NA -84.3708334 9.6930555 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Myrcia coumete" NA -83.1603 9.9828 NA NA "BIEN" "6_no_criteria_met"
"MO" NA NA 1982 NA "Myrcia coumete" NA -79.5416666 9.5583333 NA NA "BIEN" "6_no_criteria_met"
"traits" NA NA NA NA "Myrcia coumete" NA -76.5833 5.76667 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia coumete" NA -56.2067 5.0731 NA NA "BIEN" "6_no_criteria_met"
"U" "U" NA 1963 NA "Myrcia coumete" NA -54.55 3.1 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Myrcia coumete" NA -60.8256 3.0983 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia coumete" NA -52.4828 1.6017 NA NA "BIEN" "6_no_criteria_met"
"U" "U" NA 1961 NA "Myrcia coumete" NA -52.65333333 4.251944444 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"U" "U" NA 1949 NA "Myrcia coumete" NA -54.35 5.1666667 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Myrcia coumete" NA -51.3814 1.3931 NA NA "BIEN" "6_no_criteria_met"
"U" "U" NA 1949 NA "Myrcia coumete" NA -54.6 4.8 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"U" "U" NA 1915 NA "Myrcia coumete" NA -55.2666667 5.3166667 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"U" "U" NA 1963 NA "Myrcia coumete" NA -55.4333333 3.35 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Myrcia coumete" NA -76.7244 7.5911 NA NA "BIEN" "6_no_criteria_met"
