"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"US" "Botany" "2576436" 1957 NA "Myrcia crispa" "McVaugh, R." -66 0.91 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3279369" 1985 NA "Myrcia crispa" "Holst, Bruce K." -65.98 0.86 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "2814044" 1974 NA "Myrcia crispa" "McVaugh, R." -64.56 4.81 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "2548687" 1951 NA "Myrcia crispa" "McVaugh, R." -65.83 4.41 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "2548636" 1950 NA "Myrcia crispa" "McVaugh, R." -65.76 3.8 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "2548796" 1951 NA "Myrcia crispa" "" -65.7256 4.4384 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "3203300" 1974 NA "Myrcia crispa" "McVaugh" -63.918056 4.775 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"K" "Herbarium" "K000330056" 1974 NA "Myrcia crispa" "McVaugh, R." -64.57 4.8 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"ntt" NA NA NA NA "Myrcia crispa" NA -65.9014 1.0494 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia crispa" NA -66.0017 0.9622 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia crispa" NA -65.6431 3.3342 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia crispa" NA -65.5758 3.4842 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia crispa" NA -64.5703 4.7722 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia crispa" NA -65.8847 1.5703 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia crispa" NA -64.4186 4.6722 NA NA "BIEN" "6_no_criteria_met"
"MO" "MO" NA 1974 NA "Myrcia crispa" NA -63.9180556 4.775 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Myrcia crispa" NA -65.6931 4.4189 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia crispa" NA -64.2197 4.6817 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia crispa" NA -65.7569 3.8461 NA NA "BIEN" "6_no_criteria_met"
