"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "VIES" "VIES042119" 2016 "2016-03-09" "Myrcia eriocalyx" "M. Sobral" -43.7233333333333 -20.1005555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01390944" 2017 NA "Myrcia eriocalyx" "L.F. Gonçalves" -43.1158333333333 -22.4738888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01390805" 2016 NA "Myrcia eriocalyx" "Sem determinador" -43.0058333333333 -22.4447222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01391007" 2017 NA "Myrcia eriocalyx" "L.F. Gonçalves" -43.0880555555556 -22.4661111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00594961" 1982 NA "Myrcia eriocalyx" "Sem determinador" -42.9655555555556 -22.4122222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01043471" NA NA "Myrcia eriocalyx" "E. M. Nic Lughadha" -43.0730555555556 -22.4966666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000262319" 2003 NA "Myrcia eriocalyx" "Lucas, E." -43.92 -21.55 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331830" 2004 NA "Myrcia eriocalyx" "Sem determinador" -43.88 -21.7 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000331879" 2004 NA "Myrcia eriocalyx" "Sem determinador" -43.87 -21.7 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000332431" 1986 NA "Myrcia eriocalyx" "Sem determinador" -43.58 -18.53 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUFU" "HUFU00017391" NA NA "Myrcia eriocalyx" "Rosa, P.O." -48.0847222222222 -19.0838888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907976" 1971 NA "Myrcia eriocalyx" "Sem determinador" -43.6761111111111 -19.8225 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UPCB" "UPCB0024241" 2009 NA "Myrcia eriocalyx" "Lima, D.F." -41.2861111111111 -20.1761111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00823240" 1993 NA "Myrcia eriocalyx" "Sem determinador" -41.1558333333333 -11.5502777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000331867" 1999 NA "Myrcia eriocalyx" "Sem determinador" -44.92 -21.72 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000331911" 1999 NA "Myrcia eriocalyx" "Sem determinador" -43.87 -21.97 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00979149" 1980 NA "Myrcia eriocalyx" "Sem determinador" -43.7141666666667 -19.1691666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS150768" NA NA "Myrcia eriocalyx" "Sem determinador" -43.8644444444444 -20.1644444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00907977" 1972 NA "Myrcia eriocalyx" "Sem determinador" -43.5675 -19.3916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000332427" 1826 NA "Myrcia eriocalyx" "Sem determinador" -42.98 -22.43 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01317687" 2016 "2016-06-19" "Myrcia eriocalyx" "J.E.Q. Farias" -43.4466666666667 -18.9433333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS162794" NA NA "Myrcia eriocalyx" "M.Sobral" -44.0313888888889 -20.0633333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00979124" 1971 NA "Myrcia eriocalyx" "Sem determinador" -43.4180555555556 -20.375 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00979147" 1968 NA "Myrcia eriocalyx" "Sem determinador" -43.4 -18.9 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000332460" 1968 NA "Myrcia eriocalyx" "Sem determinador" -43.55 -19.23 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUFU" "HUFU00036462" 2002 NA "Myrcia eriocalyx" "Rosa, P.O." -46.4458333333333 -20.2144444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00979148" 1968 NA "Myrcia eriocalyx" "Sem determinador" -43.8 -20.22 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01203873" 2013 NA "Myrcia eriocalyx" "A. Stadnik" -44.0005555555556 -11.6277777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000332459" 1968 NA "Myrcia eriocalyx" "Sem determinador" -43.08 -22.25 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS139890" NA NA "Myrcia eriocalyx" "M.Sobral" -44.1833333333333 -21.1144444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01307119" 2016 NA "Myrcia eriocalyx" "M. Sobral" -43.5480555555556 -18.3769444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01219583" 2016 "2016-03-08" "Myrcia eriocalyx" "C.V. Vidal" -44 -21.2602777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00979121" 1968 NA "Myrcia eriocalyx" "Sem determinador" -43.8 -20.2 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUFU" "HUFU00036449" 2005 NA "Myrcia eriocalyx" "Rosa, P.O." -46.1552777777778 -20.375 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907978" NA NA "Myrcia eriocalyx" "Sem determinador" -43.65 -18.53 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS132958" NA NA "Myrcia eriocalyx" "Sem determinador" -43.1272222222222 -19.0666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00979151" 1972 NA "Myrcia eriocalyx" "Sem determinador" -43.6869444444444 -18.3158333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00907954" 1968 NA "Myrcia eriocalyx" "Sem determinador" -43.8 -20.23 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS184126" NA NA "Myrcia eriocalyx" "J.E.Q.Faria" -43.4658333333333 -19.5205555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331870" 1999 NA "Myrcia eriocalyx" "Jennings, L." -44.92 -21.62 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
