"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "HUEFS" "HUEFS144726" NA NA "Myrcia ferruginea" "N.G.Jesus" -37.8666666666667 -12.3291666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00897466" 2010 "2017-09-21" "Myrcia ferruginea" "T.FERNANDES" -49.5833333333333 -26.9833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00986096" 2011 "2017-09-21" "Myrcia ferruginea" "T.FERNANDES" -42.9833333333333 -22.45 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS135117" NA NA "Myrcia ferruginea" "Sem determinador" -38.4 -12.1666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "HUNEB" "2502" 1999 NA "Myrcia ferruginea" "" -38.433333 -12.133333 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "UESC" "13698" 2004 NA "Myrcia ferruginea" "" -38.4 -12.166667 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "HUEFS" "135117" 2004 NA "Myrcia ferruginea" "" -38.4 -12.166667 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "HUEFS" "144726" 2001 NA "Myrcia ferruginea" "N.G.Jesus" -37.866667 -12.329167 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"JABOT" "RB" "411536" 1997 "2017-09-21" "Myrcia ferruginea" "T.FERNANDES" -48.3919444444444 -24.6466666666667 "PRESERVED_SPECIMEN" NA "JABOT" "2_taxonomist"
"JABOT" "RB" "340611" 1996 "1999-03-24" "Myrcia ferruginea" "G.M.Barroso" -41.3755555555556 -13.2027777777778 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"dryflor" NA NA NA NA "Myrcia ferruginea" NA -41.38560104 -21.01309967 NA NA "BIEN" "6_no_criteria_met"
