"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY00907953" 1996 NA "Myrcia gestasiana" "Sem determinador" -44.1719444444444 -17.7575 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "NYBG_BR" "00907953" 1996 NA "Myrcia gestasiana" "M. Sobral" -44.1719 -17.7575 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "42969" 1996 NA "Myrcia gestasiana" "M. Sobral" -44.2 -17.8 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "55069" 1997 NA "Myrcia gestasiana" "M. Sobral, 1999." -44.15 -17.7667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPF" "201453" 2009 NA "Myrcia gestasiana" "Rosa, PO" -43.316667 -18.383333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"NY" "NY" NA 1996 NA "Myrcia gestasiana" NA -44.17194 -17.7575 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"dryflor" NA NA NA NA "Myrcia gestasiana" NA -44.22779846 -17.76079941 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia gestasiana" NA -43.9044 -22.7022 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia gestasiana" NA -42.6497 -22.865 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia gestasiana" NA -43.0239 -22.9678 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia gestasiana" NA -43.8283 -22.8031 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia gestasiana" NA -43.4481 -22.9406 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia gestasiana" NA -44.2278 -17.7608 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Myrcia gestasiana" NA -42.1568985 -22.82169914 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia gestasiana" NA -40.6153 -19.9211 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia gestasiana" NA -43.6278 -22.9411 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia gestasiana" NA -42.1569 -22.8217 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia gestasiana" NA -42.9794 -22.9294 NA NA "BIEN" "6_no_criteria_met"
