"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "K" "K000343091" 1961 NA "Myrcia gigas" "McVaugh, R." -50.82 1.22 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343089" 1984 NA "Myrcia gigas" "Kawasaki, M.L." -51.82 3.58 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343090" 1998 NA "Myrcia gigas" "Holst, B.K." -59.97 -2.88 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01460958" 1989 NA "Myrcia gigas" "M. L. Kawasaki" -48.4172222222222 -1.44027777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343088" 1989 NA "Myrcia gigas" "Kawasaki, M.L." -55.92 -0.7 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01892093" 1984 NA "Myrcia gigas" "Sem determinador" -51.8166666666667 3.75 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01892100" 1933 NA "Myrcia gigas" "Sem determinador" -69 -9.33333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01460959" 1984 NA "Myrcia gigas" "M. L. Kawasaki" -51.82 3.75 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "3206744" 1984 NA "Myrcia gigas" "M.L. Kawasaki" -51.81666 3.75 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01460958" 1989 NA "Myrcia gigas" "M. L. Kawasaki" -48.417263 -1.4402643 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
