"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "K" "K000331826" 2004 NA "Myrcia grandifolia" "Sem determinador" -42.95 -21.42 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00924142" 2004 NA "Myrcia grandifolia" "M. Sobral" -40.5177777777778 -15.8063888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01306941" 2016 NA "Myrcia grandifolia" "J.E.Q. Faria" -44.7652777777778 -22.2922222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00873145" 2012 NA "Myrcia grandifolia" "M. Sobral" -44.75 -22.3833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01166987" 1946 NA "Myrcia grandifolia" "Sem determinador" -46.27 -22.9302777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS174872" NA NA "Myrcia grandifolia" "Sem determinador" -44.5666666666667 -22.25 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00778809" 2000 NA "Myrcia grandifolia" "M. Sobral" -38.9966666666667 -14.2777777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01166987" 1946 NA "Myrcia grandifolia" "E. M. Nic Lughadha" -46.27 -22.9303 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00924142" 2004 NA "Myrcia grandifolia" "M. Sobral" -40.51791667 -15.8064167 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "778809" 2000 NA "Myrcia grandifolia" "M. Sobral" -38.9967 -14.2778 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HDJF" "4277" 2016 NA "Myrcia grandifolia" "Faria, JEQ" -44.765278 -22.292222 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "199120" 2012 NA "Myrcia grandifolia" "Sobral, M" -44.766667 -22.295278 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "199134" 2012 NA "Myrcia grandifolia" "Sobral, M" -44.756667 -22.3925 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "21405" 2003 NA "Myrcia grandifolia" "M. Sobral/2003" -40.553056 -19.9075 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "8297" 1998 NA "Myrcia grandifolia" "M. Sobral/2008" -40.818889 -19.891389 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPSF" "48498" 2014 "2014-03-01" "Myrcia grandifolia" "O.T.Aguiar" -48.13 -24.366389 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPF" "141337" 1999 NA "Myrcia grandifolia" "Santos, MF" -40.543611 -19.956667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"JABOT" "RB" "401643" 2004 NA "Myrcia grandifolia" "" -42.955 -21.4316666666667 "PRESERVED_SPECIMEN" NA "JABOT" "4_sci_colection"
"UEFS" "HUEFS" "174872" 1995 NA "Myrcia grandifolia" "" -44.566667 -22.25 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" NA 1946 NA "Myrcia grandifolia" NA -46.27 -22.93028 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"dryflor" NA NA NA NA "Myrcia grandifolia" NA -44.28969955 -22.63139915 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia grandifolia" NA -44.54 -22.2167 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia grandifolia" NA -41.2403 -21.0142 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia grandifolia" NA -44.62 -22.4261 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Myrcia grandifolia" NA -42.9530983 -21.42359924 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia grandifolia" NA -48.6192 -25.7717 NA NA "BIEN" "6_no_criteria_met"
