"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "VIES" "VIES042117" 2015 "2016-03-09" "Myrcia guianensis" "M. Sobral" -41.4766666666667 -20.3683333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ALCB" "ALCB008049" 2014 NA "Myrcia guianensis" "Guedes, ML" -38.7013888888889 -10.9311111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS132605" NA NA "Myrcia guianensis" "M.Sobral" -44.1772222222222 -13.4741666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00853171" 2013 NA "Myrcia guianensis" "M. Sobral" -45.1369444444444 -22.5016666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00917742" 2014 NA "Myrcia guianensis" "D. F. Lima" -51.7622222222222 -3.22833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01310424" 2002 NA "Myrcia guianensis" "D.F. Lima" -47.8841666666667 -22.1711111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01049227" 2015 NA "Myrcia guianensis" "D. F. Lima" -43.3438888888889 -18.0711111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00854484" 2011 NA "Myrcia guianensis" "D. F. Lima" -54.8844444444444 -2.50472222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01191626" 2015 NA "Myrcia guianensis" "D. F. Lima" -54.75 -1.71277777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00607616" 2010 NA "Myrcia guianensis" "D. F. Lima" -57.4872222222222 -19.9966666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00607598" 2010 NA "Myrcia guianensis" "D. F. Lima" -57.4902777777778 -19.9916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01237507" 2015 NA "Myrcia guianensis" "D. F. Lima" -42.4475 -22.3611111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0028998" NA "2009-02-16" "Myrcia guianensis" "E.C.O.Chagas" -36.2019444444445 -10.1186111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0024091" 2006 "2009-02-17" "Myrcia guianensis" "E.C.O.Chagas" -35.75 -9.58333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0010049" 1998 "2009-02-16" "Myrcia guianensis" "E.C.O.Chagas" -36.4880555555556 -10.0666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0051651" 2011 NA "Myrcia guianensis" "R.P.Lyra-Lemos" -36.8091666666667 -9.55916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0010463" 1999 "2009-02-17" "Myrcia guianensis" "E.C.O.Chagas" -36.4972222222222 -10.1841666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0029387" 1989 NA "Myrcia guianensis" "M.L.Kawasaki" -43.4927777777778 -16.9427777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0045262" 2010 "2010-01-15" "Myrcia guianensis" "E.C.O.Chagas" -38.2258333333333 -9.20194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0008892" 1995 NA "Myrcia guianensis" "M.Sobral" -36.8091666666667 -8.61861111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0036289" 2009 NA "Myrcia guianensis" "M.Sobral" -37.6425 -10.6186111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0007644" 1991 "2009-02-17" "Myrcia guianensis" "E.C.O.Chagas" -35.3686111111111 -9.03527777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0002865" 1981 "2009-02-16" "Myrcia guianensis" "E.C.O.Chagas" -37 -10.4758333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0037754" 2009 "2009-03-29" "Myrcia guianensis" "E.C.O.Chagas" -36.4166666666667 -10 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0053252" 2009 NA "Myrcia guianensis" "Sem determinador" -36.5002777777778 -9.43138888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0039158" 2009 NA "Myrcia guianensis" "M.Sobral" -36.2852777777778 -10.2258333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0051445" 2010 "2010-04-13" "Myrcia guianensis" "B.S.Amorim" -35.5 -8.08333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0021820" 1961 NA "Myrcia guianensis" "M.L.Kawasaki" -37.3091666666667 -7.61861111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0009723" 1998 NA "Myrcia guianensis" "E.C.O.Chagas" -35.8333333333333 -9.66666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0057323" 2014 NA "Myrcia guianensis" "M.Sobral" -36.7588888888889 -9.42222222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0051331" 2010 NA "Myrcia guianensis" "M.Sobral" -36.4258333333333 -9.80638888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0002860" 1978 "2009-02-16" "Myrcia guianensis" "E.C.O.Chagas" -36 -8.95 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0025166" 2006 "2009-02-17" "Myrcia guianensis" "E.C.O.Chagas" -36.5005555555556 -10.3377777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0039539" 1997 NA "Myrcia guianensis" "C.Proença" -37.7258333333333 -11.4519444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0019464" 2003 "2009-02-17" "Myrcia guianensis" "E.C.O.Chagas" -35.5672222222222 -9.1 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0035886" 2009 NA "Myrcia guianensis" "M.Sobral" -36.5 -10.2019444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0004001" 1968 NA "Myrcia guianensis" "M.Sobral" -49.1352777777778 -25.6161111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0023104" 2005 "2009-02-16" "Myrcia guianensis" "E.C.O.Chagas" -36.7994444444444 -10.5480555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0030654" 2000 "2009-07-30" "Myrcia guianensis" "B.S.Amorim" -37.25 -9.03527777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0023553" 1951 NA "Myrcia guianensis" "M.L.Kawasaki" -47.0352777777778 -23.8925 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0040883" 2009 NA "Myrcia guianensis" "M.Sobral" -35.3736111111111 -9.02277777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0003155" 1981 "2009-02-16" "Myrcia guianensis" "E.C.O.Chagas" -36.5591666666667 -10 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0040983" 2009 "2009-04-29" "Myrcia guianensis" "E.C.O.Chagas" -36.5 -9.45194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0055466" 2010 NA "Myrcia guianensis" "Sem determinador" -37.0033333333333 -9.97083333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0024151" 2006 "2009-02-16" "Myrcia guianensis" "E.C.O.Chagas" -35.9166666666667 -9.78527777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0045490" 2010 "2010-01-22" "Myrcia guianensis" "E.C.O.Chagas" -37.0833333333333 -10.25 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0033301" 2008 "2008-08-16" "Myrcia guianensis" "E.C.O.Chagas" -36.4022222222222 -9.62055555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0054942" 2012 NA "Myrcia guianensis" "Sem determinador" -36.7863888888889 -9.54138888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0013925" 2000 NA "Myrcia guianensis" "M.Sobral" -35.7955555555556 -9.55777777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0032383" 2008 "2009-02-17" "Myrcia guianensis" "E.C.O.Chagas" -36.5 -10.3925 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0015377" 2002 "2009-02-16" "Myrcia guianensis" "E.C.O.Chagas" -35.95 -9.25555555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0057028" 2014 NA "Myrcia guianensis" "Sem determinador" -36.42 -9.24166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0002356" 1982 "2009-02-16" "Myrcia guianensis" "E.C.O.Chagas" -36.3022222222222 -9.3375 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0021832" 1994 NA "Myrcia guianensis" "M.L.Kawasaki" -50.5352777777778 -28.3333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0047746" 2010 NA "Myrcia guianensis" "Sem determinador" -36.4605555555556 -9.25527777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0024399" 2006 NA "Myrcia guianensis" "M.Sobral" -37.7075 -9.12972222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0040050" 2009 NA "Myrcia guianensis" "E.C.O.Chagas" -36.5591666666667 -9.53527777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0032217" 2008 "2009-07-30" "Myrcia guianensis" "B.S.Amorim" -35.8325 -9.54388888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0003906" 1983 NA "Myrcia guianensis" "M.Sobral" -36.0552777777778 -9.27444444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0036897" 2009 NA "Myrcia guianensis" "M.Figueira; B.Schindler" -35.9166666666667 -9.55916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0049119" 2010 "2010-08-20" "Myrcia guianensis" "E.C.O.Chagas" -36.8333333333333 -10.1186111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0022359" 2005 "2009-07-30" "Myrcia guianensis" "B.S.Amorim" -35.9363888888889 -9.53972222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0040214" 2008 NA "Myrcia guianensis" "B.S.Amorim" -35.5 -8.3925 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0016361" 2002 "2009-02-17" "Myrcia guianensis" "E.C.O.Chagas" -36.3466666666667 -10.0572222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0036854" 2009 NA "Myrcia guianensis" "E.C.O.Chagas" -36.4166666666667 -9.80916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0044335" 2009 "2009-10-03" "Myrcia guianensis" "E.C.O.Chagas" -36.5911111111111 -10.5147222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0057381" 2014 "2016-11-11" "Myrcia guianensis" "M.Figueira; B.Schindler" -36.7013888888889 -9.42 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0021604" 2003 "2009-07-30" "Myrcia guianensis" "B.S.Amorim" -36.5761111111111 -9.62361111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0031736" 2008 NA "Myrcia guianensis" "M.Sobral" -35.8766666666667 -9.77972222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0029710" 2006 NA "Myrcia guianensis" "M.L.Guedes" -40.5233333333333 -11.4522222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0041903" 2009 NA "Myrcia guianensis" "M.Sobral" -36.5216666666667 -10.4 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0030889" 2005 NA "Myrcia guianensis" "M.Sobral" -44.9166666666667 -7.3925 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0019511" 2003 NA "Myrcia guianensis" "E.C.O.Chagas" -35.5022222222222 -9.21444444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0003030" 1979 NA "Myrcia guianensis" "M.Sobral" -60.2019444444445 -13.2019444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0022975" 2005 "2009-07-30" "Myrcia guianensis" "B.S.Amorim" -35.8925 -9.25472222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0057036" 2014 NA "Myrcia guianensis" "Sem determinador" -36.4333333333333 -9.23833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0043451" 2009 "2009-08-15" "Myrcia guianensis" "E.C.O.Chagas" -36.7019444444445 -9.91666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0057016" 2014 NA "Myrcia guianensis" "Sem determinador" -36.4280555555556 -9.25694444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0039699" 2009 NA "Myrcia guianensis" "Sem determinador" -35.5291666666667 -9.15666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
