"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB32497" 2010 "2010-04-08" "Myrcia hatschbachii" "Oliveira, AA de" -49.0497222222222 -27.54 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB58507" 2018 "2018-04-06" "Myrcia hatschbachii" "Kassner-Filho, A." -49.3222222222222 -27.8116666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32503" 2015 "2015-02-05" "Myrcia hatschbachii" "Oliveira, AA de" -49.3166666666667 -27.5375 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32500" 2012 "2013-04-03" "Myrcia hatschbachii" "Sobral, M" -50.5797222222222 -27.2905555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32496" 2009 "2010-01-25" "Myrcia hatschbachii" "Oliveira, AA de" -49.4108333333333 -27.6291666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32502" 2011 NA "Myrcia hatschbachii" "Sobral, M" -49.8213888888889 -27.4063888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32499" 2008 NA "Myrcia hatschbachii" "Sobral, M" -51.1172222222222 -27.7169444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB02535" 2006 "2006-01-14" "Myrcia hatschbachii" "Gasper, AL de" -49.2388888888889 -25.4419444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UPCB" "UPCB0024743" 2005 NA "Myrcia hatschbachii" "Cordeiro, J." -49.2166666666667 -25.2833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HCF" "HCF000016930" 2012 NA "Myrcia hatschbachii" "E. Barboza" -51.1522222222222 -25.3405555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HCF" "HCF000016931" 2009 "2009-09-09" "Myrcia hatschbachii" "M.G. Caxambu" -51.5897222222222 -25.0641666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HCF" "HCF000016932" 2009 NA "Myrcia hatschbachii" "M. Sobral" -51.59 -25.0638888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343679" 1993 NA "Myrcia hatschbachii" "Sobral, M." -49.25 -25.42 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01892168" 1965 NA "Myrcia hatschbachii" "Sem determinador" -49.2166666666667 -25.45 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616180" 1957 NA "Myrcia hatschbachii" "C. M. D. E. Legrand" -51.0316666666667 -26.7819444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616184" 1962 NA "Myrcia hatschbachii" "C. M. D. E. Legrand" -50.1441666666667 -26.3705555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UPCB" "UPCB0024741" 2010 "2010-11-27" "Myrcia hatschbachii" "Blum, C.T." -49.3544444444444 -25.3433333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616176" 1996 NA "Myrcia hatschbachii" "S. M. Silva" -49.22 -25.37 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616177" 1977 NA "Myrcia hatschbachii" "G. G. Hatschbach" -49.1541666666667 -25.4483333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616179" 1956 NA "Myrcia hatschbachii" "C. M. D. E. Legrand" -51.0147222222222 -26.7755555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01522730" 1982 NA "Myrcia hatschbachii" "M. Sobral" -49.25 -25.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
