"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY02715602" 1998 NA "Myrcia isaiana" "M. Sobral" -39.2033333333333 -16.87 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "SORO" "4071" 1994 NA "Myrcia isaiana" "" -47.84175 -24.900806 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "UB" "183562" 2012 "2012-06-09" "Myrcia isaiana" "Staggemeier, VG" -47.922778 -25.072222 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "202046" NA "2014-09-07" "Myrcia isaiana" "Lima, DF" -47.627778 -24.576667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPSF" "44256" 2010 "2016-06-03" "Myrcia isaiana" "O.T. Aguiar" -48.410278 -24.308333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPSF" "47296" 2013 "2013-08-29" "Myrcia isaiana" "O.T.Aguiar" -48.668611 -24.570556 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "RBR" "43623" 2014 "2017-03-29" "Myrcia isaiana" "Souza, M.C." -39.7802778 -13.3197223 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "RBR" "44176" 2014 "2017-03-29" "Myrcia isaiana" "Souza, M.C." -39.0602778 -16.1994444 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUEFS" "235472" 2014 NA "Myrcia isaiana" "M.Sobral" -41.940278 -21.870278 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"JABOT" "RB" "419780" 2003 NA "Myrcia isaiana" "M.Sobral" -48.7033333333333 -26.005 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "373845" 2000 NA "Myrcia isaiana" "M. Sobral" -36.4177777777778 -8.18722222222222 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "555889" 2010 NA "Myrcia isaiana" "M. Sobral" -39.2022222222222 -16.4191666666667 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
