"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "K" "K000001503" 1995 NA "Myrcia jacobinensis" "E.Nic Lughadha" -41.42 -12.43 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000001504" 1994 NA "Myrcia jacobinensis" "E.Nic Lughadha" -41.47 -12.45 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000262307" 1992 NA "Myrcia jacobinensis" "Nic Lughadha, E." -41.9 -13.25 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000001604" 1992 NA "Myrcia jacobinensis" "E.Nic Lughadha" -41.75 -13.15 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS153363" NA NA "Myrcia jacobinensis" "Sem determinador" -40.3722222222222 -10.6647222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000332391" 1975 NA "Myrcia jacobinensis" "Sem determinador" -37.15 -8.62 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000001607" 1992 NA "Myrcia jacobinensis" "E.Nic Lughadha" -41.88 -13.08 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000018596" 1984 NA "Myrcia jacobinensis" "E.Nic Lughadha" -41.82 -13.48 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000001601" 1993 NA "Myrcia jacobinensis" "E.Nic Lughadha" -41.9 -13.3 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343560" 1988 NA "Myrcia jacobinensis" "Nic Lughadha, E." -42 -13.52 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000001612" 1992 NA "Myrcia jacobinensis" "E.Nic Lughadha" -41.9 -13.23 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000001605" 1992 NA "Myrcia jacobinensis" "E.Nic Lughadha" -41.87 -13.3 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331792" 1997 NA "Myrcia jacobinensis" "Lucas, E." -41.47 -12.43 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000018623" 1981 "2003-08-25" "Myrcia jacobinensis" "Lucas, E." -38.35 -12.92 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS100865" NA NA "Myrcia jacobinensis" "M.F.Santos" -40.5347222222222 -12.4075 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0028123" 2010 NA "Myrcia jacobinensis" "Proença, C" -36.5625 -10.3536111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0021675" 2007 NA "Myrcia jacobinensis" "Proença, C" -37.1836111111111 -10.5952777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY02714781" 1993 NA "Myrcia jacobinensis" "A. Stadnik" -41.1558333333333 -11.5502777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS090306" NA NA "Myrcia jacobinensis" "M.F.Santos" -40.4841666666667 -12.3097222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000001453" 1986 NA "Myrcia jacobinensis" "E.Nic Lughadha" -40.52 -11.18 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0020819" NA NA "Myrcia jacobinensis" "Proença, C" -36.5122222222222 -10.4416666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS174039" NA NA "Myrcia jacobinensis" "M.F.Santos" -41.0816666666667 -11.4794444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS083284" NA NA "Myrcia jacobinensis" "L.Lima" -42.4 -13.8166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS145222" NA NA "Myrcia jacobinensis" "Sem determinador" -38.4 -12.1666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
